incident_id,server_id,incident_category,priority,status,assigned_team,resolution_hours,incident_date
100,100,CPU Utilization High,P4,Closed,Security Team,44,2026-05-21
101,101,CPU Utilization High,P2,In Progress,Security Team,6,2026-05-12
102,102,Application Not Responding,P3,Resolved,Windows Team,19,2026-01-09
103,103,Firewall Disabled,P4,Closed,Infrastructure Team,67,2026-05-15
104,104,Firewall Disabled,P3,Closed,Linux Team,11,2025-09-09
105,105,Disk Space Full,P3,In Progress,Windows Team,15,2025-11-08
106,106,Server Down,P3,Open,Windows Team,15,2025-08-24
107,107,Application Not Responding,P3,Closed,Messaging Team,14,2026-06-07
108,108,Splunk Agent Down,P4,Resolved,Security Team,36,2025-12-18
109,109,Firewall Disabled,P2,Resolved,Messaging Team,4,2026-01-06
110,110,CrowdStrike Offline,P2,In Progress,Infrastructure Team,6,2025-08-23
111,111,Application Not Responding,P3,Resolved,Messaging Team,15,2026-03-15
112,112,Splunk Agent Down,P3,Closed,Infrastructure Team,15,2026-03-05
113,113,Qualys Agent Missing,P4,Resolved,Linux Team,34,2025-10-26
114,114,CrowdStrike Offline,P4,Closed,Windows Team,61,2026-01-10
115,115,Splunk Agent Down,P2,Resolved,Infrastructure Team,6,2025-12-10
116,116,Firewall Disabled,P4,In Progress,Messaging Team,62,2026-02-23
117,117,Server Down,P4,Closed,Infrastructure Team,51,2025-12-27
118,118,Firewall Disabled,P3,Resolved,Messaging Team,8,2026-04-05
119,119,Application Not Responding,P3,Resolved,Security Team,17,2025-09-09
120,120,CPU Utilization High,P4,Resolved,Windows Team,59,2025-08-28
121,121,Disk Space Full,P3,Resolved,Linux Team,17,2026-01-08
122,122,Patch Failure,P4,In Progress,Infrastructure Team,10,2026-04-16
123,123,Patch Failure,P4,Open,Messaging Team,67,2025-09-21
124,124,Splunk Agent Down,P4,In Progress,Infrastructure Team,50,2025-11-13
125,125,Disk Space Full,P4,Open,Messaging Team,60,2025-09-30
126,126,Server Down,P1,Resolved,Windows Team,2,2026-07-03
127,127,CrowdStrike Offline,P3,Closed,Infrastructure Team,16,2026-01-19
128,128,Memory Utilization High,P4,Resolved,Messaging Team,15,2025-08-30
129,129,Application Not Responding,P3,Closed,Infrastructure Team,4,2026-03-19
130,130,Qualys Agent Missing,P4,Resolved,Windows Team,50,2025-11-14
131,131,Memory Utilization High,P4,Resolved,Linux Team,46,2025-09-09
132,132,Firewall Disabled,P4,Resolved,Messaging Team,52,2026-03-12
133,133,Splunk Agent Down,P2,Closed,Windows Team,5,2025-09-26
134,134,Firewall Disabled,P3,Resolved,Messaging Team,8,2026-02-23
135,135,CPU Utilization High,P3,In Progress,Messaging Team,5,2026-02-22
136,136,Memory Utilization High,P4,Closed,Linux Team,45,2026-05-11
137,137,Application Not Responding,P4,Open,Security Team,27,2026-03-06
138,138,Application Not Responding,P2,Closed,Windows Team,2,2026-03-17
139,139,Memory Utilization High,P3,In Progress,Security Team,15,2026-04-20
140,140,Patch Failure,P1,Closed,Linux Team,4,2026-03-12
141,141,Patch Failure,P4,Closed,Linux Team,20,2025-07-30
142,142,Disk Space Full,P3,Closed,Messaging Team,19,2026-06-10
143,143,Firewall Disabled,P3,Resolved,Infrastructure Team,21,2026-04-02
144,144,CrowdStrike Offline,P3,Closed,Infrastructure Team,11,2026-03-19
145,145,Disk Space Full,P4,In Progress,Infrastructure Team,18,2026-01-12
146,146,Firewall Disabled,P2,Resolved,Windows Team,4,2025-11-12
147,147,Patch Failure,P4,Open,Database Team,51,2026-02-19
148,148,Firewall Disabled,P1,In Progress,Windows Team,3,2025-12-13
149,149,Firewall Disabled,P3,Resolved,Windows Team,10,2025-09-01
150,150,CrowdStrike Offline,P2,In Progress,Security Team,7,2025-10-18
151,151,Application Not Responding,P4,In Progress,Infrastructure Team,58,2025-10-30
152,152,CPU Utilization High,P2,Closed,Security Team,3,2026-04-05
153,153,Splunk Agent Down,P3,Closed,Windows Team,24,2025-09-29
154,154,CPU Utilization High,P3,Resolved,Messaging Team,12,2026-01-13
155,155,Qualys Agent Missing,P4,In Progress,Infrastructure Team,64,2025-12-14
156,156,CrowdStrike Offline,P3,Closed,Infrastructure Team,12,2026-02-01
157,157,Patch Failure,P4,In Progress,Infrastructure Team,23,2026-01-07
158,158,Application Not Responding,P2,Resolved,Infrastructure Team,5,2026-06-11
159,159,Patch Failure,P3,Resolved,Infrastructure Team,23,2025-10-24
160,160,Disk Space Full,P4,Resolved,Infrastructure Team,12,2025-08-09
161,161,Disk Space Full,P2,Open,Linux Team,7,2025-12-27
162,162,Splunk Agent Down,P2,Closed,Messaging Team,7,2025-07-27
163,163,CPU Utilization High,P4,Open,Security Team,64,2026-05-01
164,164,Server Down,P4,Resolved,Linux Team,60,2026-05-21
165,165,Qualys Agent Missing,P3,In Progress,Infrastructure Team,18,2026-07-03
166,166,Splunk Agent Down,P4,Closed,Security Team,36,2026-04-27
167,167,Server Down,P2,Open,Linux Team,6,2026-07-22
168,168,Memory Utilization High,P3,Closed,Messaging Team,22,2026-04-14
169,169,Memory Utilization High,P3,Closed,Database Team,11,2026-07-22
170,170,Memory Utilization High,P4,Closed,Messaging Team,10,2025-08-16
171,171,Memory Utilization High,P3,Closed,Database Team,12,2025-09-17
172,172,Application Not Responding,P2,In Progress,Infrastructure Team,5,2026-04-11
173,173,Splunk Agent Down,P3,In Progress,Windows Team,19,2025-11-26
174,174,Server Down,P4,Resolved,Database Team,28,2026-03-02
175,175,Memory Utilization High,P4,Closed,Infrastructure Team,49,2025-12-25
176,176,CPU Utilization High,P3,Closed,Database Team,9,2026-03-14
177,177,Application Not Responding,P4,Resolved,Windows Team,18,2025-07-31
178,178,Patch Failure,P3,Closed,Database Team,7,2025-11-02
179,179,CrowdStrike Offline,P4,In Progress,Infrastructure Team,14,2025-11-03
180,180,Server Down,P3,Open,Security Team,20,2026-06-05
181,181,CPU Utilization High,P3,Closed,Windows Team,23,2026-05-20
182,182,CrowdStrike Offline,P2,Closed,Windows Team,6,2026-04-07
183,183,Patch Failure,P3,Resolved,Windows Team,5,2026-01-18
184,184,Disk Space Full,P3,Resolved,Messaging Team,24,2025-12-01
185,185,Memory Utilization High,P3,Closed,Security Team,23,2026-04-28
186,186,Patch Failure,P4,Resolved,Database Team,69,2026-07-10
187,187,Firewall Disabled,P3,Closed,Windows Team,21,2025-07-27
188,188,Splunk Agent Down,P4,Open,Messaging Team,28,2026-01-07
189,189,Patch Failure,P3,Closed,Messaging Team,6,2025-10-08
190,190,Disk Space Full,P3,Closed,Database Team,14,2026-06-08
191,191,Patch Failure,P4,In Progress,Infrastructure Team,46,2026-02-23
192,192,Memory Utilization High,P4,Resolved,Database Team,45,2026-03-25
193,193,Patch Failure,P3,Closed,Windows Team,11,2026-03-22
194,194,Disk Space Full,P4,Open,Infrastructure Team,27,2026-01-25
195,195,Firewall Disabled,P4,In Progress,Infrastructure Team,54,2025-11-03
196,196,CPU Utilization High,P2,In Progress,Infrastructure Team,3,2026-01-26
197,197,Server Down,P3,Closed,Database Team,21,2025-11-13
198,198,Firewall Disabled,P3,Closed,Messaging Team,23,2026-05-19
199,199,Splunk Agent Down,P4,Closed,Messaging Team,20,2025-11-27
200,200,CPU Utilization High,P3,Closed,Infrastructure Team,20,2026-05-13
201,201,Patch Failure,P2,Closed,Security Team,2,2025-08-29
202,202,Disk Space Full,P4,Closed,Linux Team,52,2025-11-10
203,203,Application Not Responding,P4,In Progress,Messaging Team,72,2026-03-12
204,204,CPU Utilization High,P4,Closed,Messaging Team,15,2026-02-03
205,205,Application Not Responding,P3,Closed,Linux Team,6,2025-08-22
206,206,Application Not Responding,P2,In Progress,Security Team,4,2026-02-15
207,207,Memory Utilization High,P4,In Progress,Infrastructure Team,50,2025-11-22
208,208,Memory Utilization High,P4,Resolved,Infrastructure Team,63,2025-12-28
209,209,Server Down,P2,Resolved,Linux Team,3,2025-11-12
210,210,Server Down,P2,Closed,Infrastructure Team,3,2026-04-18
211,211,CPU Utilization High,P3,In Progress,Windows Team,16,2026-02-13
212,212,CrowdStrike Offline,P4,Closed,Windows Team,44,2026-03-03
213,213,CPU Utilization High,P3,Resolved,Windows Team,14,2026-04-12
214,214,Splunk Agent Down,P2,Resolved,Messaging Team,4,2025-08-23
215,215,Patch Failure,P3,Resolved,Security Team,15,2026-06-23
216,216,CPU Utilization High,P4,Resolved,Linux Team,36,2025-11-16
217,217,Server Down,P3,Resolved,Messaging Team,17,2026-07-06
218,218,Firewall Disabled,P4,Closed,Messaging Team,68,2026-04-02
219,219,Splunk Agent Down,P3,Closed,Messaging Team,12,2026-07-07
220,220,Firewall Disabled,P2,Resolved,Windows Team,6,2025-11-17
221,221,CPU Utilization High,P4,Closed,Database Team,10,2026-01-05
222,222,Application Not Responding,P4,In Progress,Security Team,31,2025-08-03
223,223,Application Not Responding,P4,In Progress,Linux Team,12,2026-06-14
224,224,Memory Utilization High,P4,Resolved,Windows Team,42,2026-06-27
225,225,Qualys Agent Missing,P3,Resolved,Messaging Team,7,2025-08-10
226,226,Patch Failure,P3,Closed,Security Team,5,2026-05-28
227,227,CPU Utilization High,P4,Open,Messaging Team,14,2025-12-26
228,228,CrowdStrike Offline,P3,Closed,Infrastructure Team,4,2025-08-08
229,229,CPU Utilization High,P4,Resolved,Infrastructure Team,50,2025-10-26
230,230,Qualys Agent Missing,P4,Closed,Linux Team,72,2026-07-04
231,231,Patch Failure,P4,Resolved,Infrastructure Team,65,2025-09-06
232,232,Disk Space Full,P4,Resolved,Infrastructure Team,30,2025-10-20
233,233,Application Not Responding,P4,Resolved,Messaging Team,43,2025-08-04
234,234,Disk Space Full,P3,Resolved,Messaging Team,8,2025-08-16
235,235,Firewall Disabled,P4,Closed,Infrastructure Team,24,2025-10-03
236,236,Disk Space Full,P3,Closed,Infrastructure Team,20,2026-06-25
237,237,Application Not Responding,P3,Resolved,Messaging Team,7,2026-01-15
238,238,CPU Utilization High,P4,Closed,Linux Team,22,2026-03-23
239,239,Qualys Agent Missing,P4,Resolved,Security Team,39,2025-09-25
240,240,Memory Utilization High,P3,Open,Security Team,10,2025-09-22
241,241,Server Down,P4,In Progress,Windows Team,45,2025-08-26
242,242,Application Not Responding,P2,Resolved,Linux Team,2,2025-09-03
243,243,Firewall Disabled,P4,Closed,Windows Team,67,2025-08-24
244,244,Qualys Agent Missing,P1,Resolved,Security Team,4,2026-05-26
245,245,Memory Utilization High,P3,In Progress,Messaging Team,17,2026-05-27
246,246,Firewall Disabled,P3,Resolved,Linux Team,14,2026-07-12
247,247,Memory Utilization High,P3,Resolved,Infrastructure Team,23,2025-12-14
248,248,CPU Utilization High,P4,Closed,Infrastructure Team,66,2026-01-17
249,249,Splunk Agent Down,P4,Closed,Windows Team,70,2025-08-19
250,250,Disk Space Full,P4,Closed,Windows Team,28,2026-05-30
251,251,Splunk Agent Down,P3,Closed,Infrastructure Team,8,2025-08-16
252,252,CPU Utilization High,P4,Resolved,Windows Team,46,2026-03-03
253,253,Splunk Agent Down,P1,Closed,Security Team,4,2026-04-12
254,254,Server Down,P4,In Progress,Infrastructure Team,69,2026-04-30
255,255,Firewall Disabled,P1,Closed,Messaging Team,1,2026-01-15
256,256,CPU Utilization High,P4,In Progress,Infrastructure Team,57,2026-03-03
257,257,Firewall Disabled,P4,In Progress,Messaging Team,18,2025-09-27
258,258,Server Down,P3,Closed,Database Team,20,2026-07-17
259,259,Patch Failure,P3,In Progress,Database Team,12,2026-01-29
260,260,CPU Utilization High,P4,Resolved,Linux Team,70,2026-07-09
261,261,Firewall Disabled,P3,Resolved,Infrastructure Team,23,2025-11-03
262,262,Splunk Agent Down,P3,Resolved,Infrastructure Team,16,2026-02-22
263,263,CPU Utilization High,P4,Resolved,Infrastructure Team,69,2025-09-20
264,264,Server Down,P4,In Progress,Windows Team,53,2026-05-16
265,265,Splunk Agent Down,P1,Resolved,Security Team,3,2025-11-10
266,266,Disk Space Full,P3,In Progress,Windows Team,24,2026-02-14
267,267,Patch Failure,P3,Closed,Linux Team,14,2025-07-30
268,268,Memory Utilization High,P4,Resolved,Security Team,71,2025-09-03
269,269,Qualys Agent Missing,P4,Resolved,Windows Team,8,2025-08-12
270,270,Server Down,P4,In Progress,Linux Team,59,2025-12-08
271,271,Patch Failure,P3,Open,Infrastructure Team,16,2025-12-15
272,272,CPU Utilization High,P2,Closed,Database Team,2,2026-02-23
273,273,Splunk Agent Down,P2,Closed,Infrastructure Team,2,2026-05-15
274,274,CPU Utilization High,P3,Resolved,Linux Team,11,2025-09-27
275,275,Disk Space Full,P4,Resolved,Linux Team,48,2025-12-29
276,276,CrowdStrike Offline,P3,Closed,Security Team,11,2025-09-28
277,277,Patch Failure,P3,Closed,Infrastructure Team,4,2026-03-28
278,278,Disk Space Full,P3,Closed,Database Team,18,2026-06-28
279,279,Disk Space Full,P2,Resolved,Messaging Team,3,2026-03-11
280,280,CrowdStrike Offline,P3,Closed,Infrastructure Team,7,2026-07-01
281,281,Application Not Responding,P2,Closed,Database Team,2,2026-01-11
282,282,Qualys Agent Missing,P2,Resolved,Database Team,2,2026-05-06
283,283,Memory Utilization High,P3,Open,Security Team,5,2026-05-20
284,284,Patch Failure,P2,Resolved,Infrastructure Team,8,2026-05-09
285,285,Server Down,P4,Closed,Security Team,63,2025-09-10
286,286,Disk Space Full,P4,Resolved,Database Team,58,2026-05-01
287,287,Splunk Agent Down,P3,Closed,Infrastructure Team,11,2025-09-23
288,288,Application Not Responding,P4,Resolved,Security Team,60,2026-04-27
289,289,Qualys Agent Missing,P3,Resolved,Database Team,15,2026-01-14
290,290,Application Not Responding,P3,Resolved,Linux Team,19,2026-02-05
291,291,Patch Failure,P4,Closed,Database Team,58,2025-09-05
292,292,Disk Space Full,P3,Resolved,Infrastructure Team,19,2026-03-16
293,293,Memory Utilization High,P3,Resolved,Security Team,18,2026-05-05
294,294,Qualys Agent Missing,P4,Resolved,Security Team,19,2026-03-20
295,295,Firewall Disabled,P4,Closed,Infrastructure Team,68,2026-04-21
296,296,CrowdStrike Offline,P3,Resolved,Infrastructure Team,22,2025-08-17
297,297,Server Down,P3,Resolved,Linux Team,19,2026-06-24
298,298,Patch Failure,P3,Closed,Infrastructure Team,14,2025-11-05
299,299,Server Down,P4,In Progress,Infrastructure Team,37,2025-10-05
300,300,Qualys Agent Missing,P4,Closed,Database Team,47,2025-08-07
301,301,Disk Space Full,P3,Closed,Windows Team,10,2026-05-06
302,302,Server Down,P2,Resolved,Database Team,4,2026-05-03
303,303,Server Down,P3,Resolved,Infrastructure Team,15,2025-10-26
304,304,CPU Utilization High,P1,Resolved,Windows Team,1,2026-01-01
305,305,Server Down,P4,Closed,Infrastructure Team,59,2026-05-17
306,306,Application Not Responding,P3,Resolved,Database Team,10,2026-04-07
307,307,Application Not Responding,P4,In Progress,Linux Team,26,2025-12-14
308,308,Firewall Disabled,P4,Resolved,Windows Team,55,2026-03-06
309,309,Firewall Disabled,P3,Resolved,Linux Team,17,2025-12-07
310,310,Disk Space Full,P3,Closed,Database Team,5,2025-11-10
311,311,Firewall Disabled,P2,Resolved,Messaging Team,7,2026-03-05
312,312,Disk Space Full,P3,Resolved,Security Team,10,2026-07-25
313,313,Server Down,P4,Closed,Security Team,67,2026-01-08
314,314,Firewall Disabled,P3,Resolved,Infrastructure Team,13,2025-12-16
315,315,Splunk Agent Down,P2,Resolved,Infrastructure Team,8,2026-07-18
316,316,Memory Utilization High,P4,Open,Security Team,37,2025-08-14
317,317,Patch Failure,P3,In Progress,Infrastructure Team,8,2025-11-19
318,318,Disk Space Full,P2,Resolved,Infrastructure Team,3,2026-06-28
319,319,Patch Failure,P4,Resolved,Security Team,70,2025-09-06
320,320,Splunk Agent Down,P4,Open,Database Team,22,2026-04-16
321,321,Memory Utilization High,P4,Closed,Infrastructure Team,27,2025-12-24
322,322,Memory Utilization High,P4,Closed,Database Team,34,2026-06-30
323,323,Splunk Agent Down,P3,Closed,Infrastructure Team,20,2025-08-22
324,324,Firewall Disabled,P2,Closed,Database Team,4,2025-10-28
325,325,CrowdStrike Offline,P4,Resolved,Database Team,53,2026-03-13
326,326,Firewall Disabled,P3,Resolved,Windows Team,11,2025-11-21
327,327,Application Not Responding,P2,Closed,Messaging Team,3,2025-10-04
328,328,Splunk Agent Down,P4,In Progress,Windows Team,31,2025-09-25
329,329,Application Not Responding,P4,Resolved,Infrastructure Team,12,2026-02-26
330,330,Firewall Disabled,P3,Open,Infrastructure Team,16,2026-03-12
331,331,Disk Space Full,P4,Open,Infrastructure Team,69,2026-02-05
332,332,Application Not Responding,P1,In Progress,Messaging Team,1,2026-03-07
333,333,CPU Utilization High,P4,Closed,Windows Team,72,2026-06-17
334,334,CPU Utilization High,P4,Open,Messaging Team,71,2025-11-03
335,335,Firewall Disabled,P1,Closed,Windows Team,1,2026-02-25
336,336,Server Down,P3,Resolved,Linux Team,13,2026-03-01
337,337,Patch Failure,P4,Closed,Security Team,32,2026-01-28
338,338,Qualys Agent Missing,P4,In Progress,Security Team,10,2026-01-04
339,339,Application Not Responding,P3,Closed,Infrastructure Team,6,2026-02-28
340,340,Qualys Agent Missing,P4,Open,Infrastructure Team,24,2026-01-03
341,341,Firewall Disabled,P3,Closed,Infrastructure Team,17,2026-04-15
342,342,Qualys Agent Missing,P4,Closed,Security Team,44,2026-06-09
343,343,Splunk Agent Down,P4,Resolved,Infrastructure Team,21,2026-05-13
344,344,CrowdStrike Offline,P4,Resolved,Infrastructure Team,28,2026-02-02
345,345,Server Down,P3,In Progress,Messaging Team,11,2025-08-17
346,346,Firewall Disabled,P3,Resolved,Infrastructure Team,22,2025-09-08
347,347,Application Not Responding,P3,Closed,Windows Team,18,2025-12-29
348,348,Disk Space Full,P4,Closed,Windows Team,12,2026-03-09
349,349,Splunk Agent Down,P3,Resolved,Database Team,6,2026-05-12
350,350,Memory Utilization High,P4,In Progress,Database Team,42,2026-03-14
351,351,Server Down,P4,Resolved,Linux Team,72,2026-02-15
352,352,CrowdStrike Offline,P3,Resolved,Messaging Team,10,2025-12-30
353,353,Qualys Agent Missing,P2,In Progress,Security Team,8,2025-11-03
354,354,Patch Failure,P3,Open,Linux Team,14,2026-03-24
355,355,Memory Utilization High,P4,In Progress,Infrastructure Team,64,2025-10-09
356,356,Disk Space Full,P3,Closed,Database Team,6,2026-01-30
357,357,Patch Failure,P3,Open,Messaging Team,4,2025-12-15
358,358,Memory Utilization High,P3,In Progress,Linux Team,21,2025-08-19
359,359,Application Not Responding,P2,In Progress,Infrastructure Team,2,2026-01-31
360,360,Server Down,P3,Closed,Database Team,18,2025-08-21
361,361,CPU Utilization High,P2,Closed,Infrastructure Team,3,2026-04-18
362,362,Splunk Agent Down,P4,Open,Infrastructure Team,16,2025-08-09
363,363,Application Not Responding,P3,Open,Infrastructure Team,5,2025-08-28
364,364,Patch Failure,P4,Resolved,Security Team,9,2026-04-09
365,365,Disk Space Full,P2,Closed,Infrastructure Team,8,2025-10-12
366,366,CrowdStrike Offline,P4,Closed,Database Team,20,2026-07-02
367,367,Firewall Disabled,P3,Closed,Security Team,4,2025-11-23
368,368,Application Not Responding,P4,Resolved,Windows Team,18,2025-09-16
369,369,Application Not Responding,P4,Open,Windows Team,20,2026-01-22
370,370,Qualys Agent Missing,P1,Closed,Messaging Team,1,2025-08-13
371,371,Application Not Responding,P3,Resolved,Linux Team,12,2025-12-02
372,372,Splunk Agent Down,P4,Closed,Linux Team,10,2026-02-02
373,373,Splunk Agent Down,P3,Resolved,Database Team,19,2025-11-03
374,374,Server Down,P3,Open,Messaging Team,20,2026-01-06
375,375,Splunk Agent Down,P2,In Progress,Linux Team,6,2025-10-09
376,376,Application Not Responding,P4,Resolved,Database Team,23,2025-11-01
377,377,Memory Utilization High,P3,Resolved,Security Team,14,2026-04-13
378,378,CrowdStrike Offline,P4,Resolved,Windows Team,72,2026-02-02
379,379,CPU Utilization High,P4,In Progress,Database Team,72,2026-07-02
380,380,Application Not Responding,P1,Closed,Infrastructure Team,4,2025-09-19
381,381,Server Down,P2,Closed,Security Team,3,2025-12-31
382,382,CrowdStrike Offline,P4,Closed,Linux Team,24,2025-08-02
383,383,CrowdStrike Offline,P3,Resolved,Infrastructure Team,5,2025-08-03
384,384,Disk Space Full,P4,In Progress,Linux Team,20,2026-05-29
385,385,Qualys Agent Missing,P3,Closed,Messaging Team,21,2025-11-12
386,386,Qualys Agent Missing,P4,In Progress,Infrastructure Team,44,2026-02-28
387,387,Patch Failure,P2,Closed,Windows Team,8,2025-07-29
388,388,Firewall Disabled,P4,In Progress,Windows Team,33,2026-04-24
389,389,Server Down,P3,Resolved,Infrastructure Team,19,2025-09-18
