compliance_id,server_id,splunk_status,qualys_status,crowdstrike_status,firewall_status,patch_status,password_policy,compliance_score,compliance_status
31,31,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
32,32,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
33,33,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
34,34,Running,Running,Running,Enabled,Outdated,Non-Compliant,75,Warning
35,35,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
36,36,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
37,37,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
38,38,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
39,39,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
40,40,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
41,41,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
42,42,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
43,43,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
44,44,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
45,45,Stopped,Running,Stopped,Enabled,Updated,Compliant,60,Non-Compliant
46,46,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
47,47,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
48,48,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
49,49,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
50,50,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
51,51,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
52,52,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
53,53,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
54,54,Running,Running,Running,Disabled,Updated,Compliant,85,Warning
55,55,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
56,56,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
57,57,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
58,58,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
59,59,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
60,60,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
61,61,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
62,62,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
63,63,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
64,64,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
65,65,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
66,66,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
67,67,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
68,68,Running,Stopped,Running,Enabled,Updated,Non-Compliant,70,Warning
69,69,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
70,70,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
71,71,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
72,72,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
73,73,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
74,74,Running,Stopped,Running,Disabled,Outdated,Non-Compliant,40,Non-Compliant
75,75,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
76,76,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
77,77,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
78,78,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
79,79,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
80,80,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
81,81,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
82,82,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
83,83,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
84,84,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
85,85,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
86,86,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
87,87,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
88,88,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
89,89,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
90,90,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
91,91,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
92,92,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
93,93,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
94,94,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
95,95,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
96,96,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
97,97,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
98,98,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
99,99,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
100,100,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
101,101,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
102,102,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
103,103,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
104,104,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
105,105,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
106,106,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
107,107,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
108,108,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
109,109,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
110,110,Running,Running,Stopped,Enabled,Outdated,Non-Compliant,55,Non-Compliant
111,111,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
112,112,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
113,113,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
114,114,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
115,115,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
116,116,Running,Running,Running,Disabled,Updated,Compliant,85,Warning
117,117,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
118,118,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
119,119,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
120,120,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
121,121,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
122,122,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
123,123,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
124,124,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
125,125,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
126,126,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
127,127,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
128,128,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
129,129,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
130,130,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
131,131,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
132,132,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
133,133,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
134,134,Running,Running,Running,Disabled,Updated,Compliant,85,Warning
135,135,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
136,136,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
137,137,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
138,138,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
139,139,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
140,140,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
141,141,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
142,142,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
143,143,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
144,144,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
145,145,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
146,146,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
147,147,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
148,148,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
149,149,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
150,150,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
151,151,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
152,152,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
153,153,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
154,154,Running,Running,Running,Disabled,Updated,Compliant,85,Warning
155,155,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
156,156,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
157,157,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
158,158,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
159,159,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
160,160,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
161,161,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
162,162,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
163,163,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
164,164,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
165,165,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
166,166,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
167,167,Stopped,Stopped,Running,Enabled,Outdated,Compliant,45,Non-Compliant
168,168,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
169,169,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
170,170,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
171,171,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
172,172,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
173,173,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
174,174,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
175,175,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
176,176,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
177,177,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
178,178,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
179,179,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
180,180,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
181,181,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
182,182,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
183,183,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
184,184,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
185,185,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
186,186,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
187,187,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
188,188,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
189,189,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
190,190,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
191,191,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
192,192,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
193,193,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
194,194,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
195,195,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
196,196,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
197,197,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
198,198,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
199,199,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
200,200,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
201,201,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
202,202,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
203,203,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
204,204,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
205,205,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
206,206,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
207,207,Stopped,Stopped,Running,Enabled,Updated,Compliant,60,Non-Compliant
208,208,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
209,209,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
210,210,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
211,211,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
212,212,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
213,213,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
214,214,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
215,215,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
216,216,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
217,217,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
218,218,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
219,219,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
220,220,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
221,221,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
222,222,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
223,223,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
224,224,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
225,225,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
226,226,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
227,227,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
228,228,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
229,229,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
230,230,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
231,231,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
232,232,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
233,233,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
234,234,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
235,235,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
236,236,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
237,237,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
238,238,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
239,239,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
240,240,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
241,241,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
242,242,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
243,243,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
244,244,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
245,245,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
246,246,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
247,247,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
248,248,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
249,249,Stopped,Running,Running,Enabled,Outdated,Compliant,65,Non-Compliant
250,250,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
251,251,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
252,252,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
253,253,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
254,254,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
255,255,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
256,256,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
257,257,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
258,258,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
259,259,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
260,260,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
261,261,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
262,262,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
263,263,Running,Stopped,Running,Enabled,Outdated,Non-Compliant,55,Non-Compliant
264,264,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
265,265,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
266,266,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
267,267,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
268,268,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
269,269,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
270,270,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
271,271,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
272,272,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
273,273,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
274,274,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
275,275,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
276,276,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
277,277,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
278,278,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
279,279,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
280,280,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
281,281,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
282,282,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
283,283,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
284,284,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
285,285,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
286,286,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
287,287,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
288,288,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
289,289,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
290,290,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
291,291,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
292,292,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
293,293,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
294,294,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
295,295,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
296,296,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
297,297,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
298,298,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
299,299,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
300,300,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
301,301,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
302,302,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
303,303,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
304,304,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
305,305,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
306,306,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
307,307,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
308,308,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
309,309,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
310,310,Running,Running,Running,Enabled,Outdated,Non-Compliant,75,Warning
311,311,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
312,312,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
313,313,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
314,314,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
315,315,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
316,316,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
317,317,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
318,318,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
319,319,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
320,320,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
321,321,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
322,322,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
323,323,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
324,324,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
325,325,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
326,326,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
327,327,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
328,328,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
329,329,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
330,330,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
331,331,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
332,332,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
333,333,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
334,334,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
335,335,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
336,336,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
337,337,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
338,338,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
339,339,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
340,340,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
341,341,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
342,342,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
343,343,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
344,344,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
345,345,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
346,346,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
347,347,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
348,348,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
349,349,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
350,350,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
351,351,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
352,352,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
353,353,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
354,354,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
355,355,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
356,356,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
357,357,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
358,358,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
359,359,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
360,360,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
361,361,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
362,362,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
363,363,Stopped,Stopped,Running,Enabled,Updated,Compliant,60,Non-Compliant
364,364,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
365,365,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
366,366,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
367,367,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
368,368,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
369,369,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
370,370,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
371,371,Running,Running,Running,Disabled,Outdated,Compliant,70,Warning
372,372,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning
373,373,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
374,374,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
375,375,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning
376,376,Running,Running,Running,Disabled,Updated,Compliant,85,Warning
377,377,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
378,378,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
379,379,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
380,380,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
381,381,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
382,382,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
383,383,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
384,384,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
385,385,Stopped,Running,Stopped,Enabled,Updated,Compliant,60,Non-Compliant
386,386,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
387,387,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
388,388,Running,Running,Running,Disabled,Updated,Non-Compliant,75,Warning
389,389,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
390,390,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
391,391,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
392,392,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning
393,393,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant
394,394,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
395,395,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
396,396,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
397,397,Running,Running,Stopped,Enabled,Updated,Compliant,80,Warning
398,398,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
399,399,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
400,400,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
401,401,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
402,402,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant
