server_id,hostname,operating_system,environment,server_type,location,owner_team,created_date,compliance_id,splunk_status,qualys_status,crowdstrike_status,firewall_status,patch_status,password_policy,compliance_score,compliance_status,performance_id,cpu_usage,memory_usage,disk_usage,uptime_days,vulnerability_id,critical_count,high_count,medium_count,low_count,risk_level,last_scan_date,incident_id,incident_category,priority,status,assigned_team,resolution_hours,incident_date,total_vulnerabilities,vulnerability_risk_score,compliance_failure_count,performance_risk_count,incident_severity_score,resolution_delay_risk,server_risk_score
20,AUTH003,RHEL 8,Testing,Authentication Server,Mumbai,Security Team,2026-07-25,20,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,20,34,56,31,164,20,1,1,2,8,Low,2026-07-25,20,Application Not Responding,P1,Resolved,Security Team,3,2025-10-27,12,19,1,0,4,0,49
21,FILE004,Windows Server 2019,Development,File Server,Mumbai,Windows Team,2026-07-25,21,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,21,14,35,81,262,21,1,2,8,7,Medium,2026-07-25,21,Disk Space Full,P3,Closed,Windows Team,20,2026-06-02,18,33,0,0,2,0,43
22,WEB004,Windows Server 2022,Testing,Web Server,Pune,Linux Team,2026-07-25,22,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,22,50,56,45,512,22,3,4,5,15,Critical,2026-07-25,22,Splunk Agent Down,P2,Closed,Linux Team,5,2025-08-03,27,49,0,0,3,0,64
23,API002,Ubuntu 22.04,Testing,API Server,Chennai,Infrastructure Team,2026-07-25,23,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,23,53,57,52,296,23,2,5,7,7,High,2026-07-25,23,Disk Space Full,P3,Resolved,Infrastructure Team,17,2025-10-22,21,44,0,0,2,0,54
24,MAIL004,RHEL 8,UAT,Mail Server,Hyderabad,Messaging Team,2026-07-25,24,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,24,26,53,61,167,24,2,1,2,7,Low,2026-07-25,24,Firewall Disabled,P4,Closed,Messaging Team,18,2026-06-02,12,22,0,0,1,0,27
25,API003,Ubuntu 22.04,UAT,API Server,Hyderabad,Infrastructure Team,2026-07-25,25,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,25,67,55,33,705,25,2,5,4,15,High,2026-07-25,25,CrowdStrike Offline,P3,Closed,Infrastructure Team,13,2026-03-09,26,46,1,1,2,0,71
26,WEB005,Ubuntu 22.04,Testing,Web Server,Chennai,Linux Team,2026-07-25,26,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,26,47,70,47,693,26,1,4,13,13,Medium,2026-07-25,26,Application Not Responding,P3,Resolved,Linux Team,5,2025-08-08,31,55,0,1,2,0,70
27,DB004,RHEL 9,Production,Database Server,Bangalore,Database Team,2026-07-25,27,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,27,83,94,93,373,27,1,7,13,27,High,2026-07-25,27,Disk Space Full,P4,Open,Database Team,69,2025-10-30,48,78,0,3,1,1,103
28,FILE005,Windows Server 2019,Testing,File Server,Pune,Windows Team,2026-07-25,28,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,28,11,21,74,274,28,0,2,8,15,Medium,2026-07-25,28,Server Down,P3,Resolved,Windows Team,21,2025-10-29,25,37,0,0,2,0,47
29,WEB006,Ubuntu 22.04,Testing,Web Server,Pune,Linux Team,2026-07-25,29,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,29,49,66,54,698,29,0,5,11,13,High,2026-07-25,29,Server Down,P3,Resolved,Linux Team,5,2025-12-24,29,50,0,1,2,0,65
30,WEB007,Windows Server 2022,Development,Web Server,Pune,Linux Team,2026-07-25,30,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,30,42,60,38,455,30,3,4,10,11,Critical,2026-07-25,30,Patch Failure,P4,Resolved,Linux Team,32,2026-02-11,28,55,1,0,1,1,75
31,APP005,Windows Server 2019,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25,31,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,31,61,74,49,171,31,0,2,6,13,Low,2026-07-25,31,Disk Space Full,P3,Resolved,Infrastructure Team,19,2026-04-03,21,31,0,0,2,0,41
32,MAIL005,Ubuntu 22.04,Production,Mail Server,Pune,Messaging Team,2026-07-25,32,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,32,29,65,46,423,32,2,1,2,13,Low,2026-07-25,32,Server Down,P4,Closed,Messaging Team,58,2025-09-10,18,28,1,0,1,1,48
33,MAIL006,Windows Server 2019,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25,33,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,33,26,58,41,690,33,2,2,2,8,Low,2026-07-25,33,Splunk Agent Down,P2,Resolved,Messaging Team,2,2025-08-07,14,26,1,1,3,0,56
34,DB005,RHEL 9,Production,Database Server,Bangalore,Database Team,2026-07-25,34,Running,Running,Running,Enabled,Outdated,Non-Compliant,75,Warning,34,77,74,75,362,34,2,5,8,28,High,2026-07-25,34,Memory Utilization High,P1,Closed,Database Team,2,2026-05-31,43,67,2,0,4,0,107
35,APP006,Windows Server 2022,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25,35,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,35,72,57,49,687,35,1,4,9,8,Medium,2026-07-25,35,Memory Utilization High,P2,Closed,Infrastructure Team,4,2025-12-07,22,42,0,1,3,0,62
36,FILE006,Windows Server 2019,Development,File Server,Mumbai,Windows Team,2026-07-25,36,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,36,25,33,78,565,36,1,1,4,15,Low,2026-07-25,36,CrowdStrike Offline,P3,Resolved,Windows Team,12,2026-01-13,21,30,0,0,2,0,40
37,DB006,Windows Server 2019,UAT,Database Server,Chennai,Database Team,2026-07-25,37,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,37,62,93,76,189,37,3,5,8,28,Critical,2026-07-25,37,Qualys Agent Missing,P3,Resolved,Database Team,21,2026-05-02,44,71,0,1,2,0,86
38,APP007,Windows Server 2019,Development,Application Server,Mumbai,Infrastructure Team,2026-07-25,38,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,38,73,74,52,362,38,0,3,4,17,Low,2026-07-25,38,Memory Utilization High,P3,Resolved,Infrastructure Team,7,2025-10-16,24,34,0,0,2,0,44
39,DB007,RHEL 8,Development,Database Server,Mumbai,Database Team,2026-07-25,39,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,39,88,75,72,58,39,3,6,14,23,Critical,2026-07-25,39,Qualys Agent Missing,P2,Resolved,Database Team,4,2025-12-14,46,81,0,1,3,0,101
40,DB008,RHEL 9,Testing,Database Server,Bangalore,Database Team,2026-07-25,40,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,40,80,82,92,691,40,5,6,10,13,Critical,2026-07-25,40,Qualys Agent Missing,P3,Resolved,Database Team,9,2026-04-04,34,71,0,3,2,0,96
41,WEB008,Ubuntu 22.04,UAT,Web Server,Chennai,Linux Team,2026-07-25,41,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,41,52,63,30,432,41,0,5,7,19,High,2026-07-25,41,CPU Utilization High,P3,Resolved,Linux Team,4,2026-06-06,31,48,0,0,2,0,58
42,MAIL007,Windows Server 2022,Development,Mail Server,Mumbai,Messaging Team,2026-07-25,42,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,42,35,42,46,393,42,2,4,3,6,Low,2026-07-25,42,Splunk Agent Down,P4,Open,Messaging Team,63,2026-04-02,15,32,0,0,1,1,42
43,DB009,Windows Server 2019,Development,Database Server,Bangalore,Database Team,2026-07-25,43,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,43,66,79,75,729,43,4,4,5,12,Critical,2026-07-25,43,Server Down,P4,Resolved,Database Team,67,2025-11-22,25,50,0,1,1,1,65
44,MAIL008,Windows Server 2022,Production,Mail Server,Bangalore,Messaging Team,2026-07-25,44,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,44,45,59,33,277,44,2,1,8,10,Medium,2026-07-25,44,Patch Failure,P4,In Progress,Messaging Team,69,2025-07-31,21,37,1,0,1,1,57
45,APP008,Ubuntu 22.04,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25,45,Stopped,Running,Stopped,Enabled,Updated,Compliant,60,Non-Compliant,45,51,78,49,311,45,0,5,5,9,High,2026-07-25,45,Server Down,P3,Closed,Infrastructure Team,17,2025-09-02,19,34,2,0,2,0,64
46,WEB009,RHEL 9,Testing,Web Server,Pune,Linux Team,2026-07-25,46,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,46,24,54,44,534,46,1,4,13,5,Medium,2026-07-25,46,Splunk Agent Down,P4,Closed,Linux Team,35,2026-04-23,23,47,0,0,1,1,57
47,WEB010,Windows Server 2022,UAT,Web Server,Bangalore,Linux Team,2026-07-25,47,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,47,49,68,27,365,47,3,4,7,18,Critical,2026-07-25,47,CrowdStrike Offline,P3,Closed,Linux Team,15,2026-06-01,32,56,1,0,2,0,76
48,WEB011,Windows Server 2022,Testing,Web Server,Hyderabad,Linux Team,2026-07-25,48,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,48,55,60,25,405,48,2,3,6,6,Low,2026-07-25,48,CrowdStrike Offline,P3,Closed,Linux Team,4,2026-05-09,17,35,1,0,2,0,55
49,DB010,Windows Server 2022,Development,Database Server,Bangalore,Database Team,2026-07-25,49,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,49,90,89,93,642,49,3,5,7,26,Critical,2026-07-25,49,CPU Utilization High,P3,Resolved,Database Team,18,2026-05-29,41,67,0,4,2,0,97
50,API004,RHEL 8,Production,API Server,Chennai,Infrastructure Team,2026-07-25,50,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,50,65,59,39,202,50,1,4,10,9,Medium,2026-07-25,50,Memory Utilization High,P4,Closed,Infrastructure Team,37,2025-08-20,24,45,0,0,1,1,55
51,APP009,Ubuntu 22.04,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25,51,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,51,67,65,46,613,51,0,3,4,8,Low,2026-07-25,51,Qualys Agent Missing,P1,Closed,Infrastructure Team,1,2025-10-06,15,25,0,1,4,0,50
52,DB011,RHEL 9,Development,Database Server,Hyderabad,Database Team,2026-07-25,52,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,52,79,81,93,468,52,1,6,9,10,High,2026-07-25,52,Application Not Responding,P4,In Progress,Database Team,37,2025-08-15,26,50,0,2,1,1,70
53,APP010,RHEL 9,Testing,Application Server,Mumbai,Infrastructure Team,2026-07-25,53,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,53,61,63,51,162,53,2,3,5,6,Low,2026-07-25,53,CPU Utilization High,P3,Closed,Infrastructure Team,14,2026-07-18,16,33,0,0,2,0,43
54,MAIL009,RHEL 8,Production,Mail Server,Chennai,Messaging Team,2026-07-25,54,Running,Running,Running,Disabled,Updated,Compliant,85,Warning,54,53,66,57,688,54,1,4,5,15,Low,2026-07-25,54,Application Not Responding,P3,Resolved,Messaging Team,9,2026-01-06,25,41,1,1,2,0,66
55,DB012,Ubuntu 22.04,Production,Database Server,Pune,Database Team,2026-07-25,55,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,55,63,86,91,495,55,1,9,14,29,High,2026-07-25,55,Application Not Responding,P2,In Progress,Database Team,4,2025-10-30,53,88,0,2,3,0,113
56,APP011,RHEL 9,UAT,Application Server,Chennai,Infrastructure Team,2026-07-25,56,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,56,47,82,46,375,56,2,2,3,13,Low,2026-07-25,56,Server Down,P3,Closed,Infrastructure Team,5,2025-10-27,20,33,0,1,2,0,48
57,API005,RHEL 9,UAT,API Server,Pune,Infrastructure Team,2026-07-25,57,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,57,56,44,38,276,57,0,2,7,13,Low,2026-07-25,57,Application Not Responding,P3,Open,Infrastructure Team,13,2026-02-20,22,33,1,0,2,0,53
58,APP012,RHEL 8,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25,58,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,58,53,58,56,543,58,0,5,4,8,High,2026-07-25,58,CPU Utilization High,P4,Closed,Infrastructure Team,43,2026-05-03,17,31,0,0,1,1,41
59,AUTH004,RHEL 9,Development,Authentication Server,Mumbai,Security Team,2026-07-25,59,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,59,49,43,30,677,59,2,4,2,11,Low,2026-07-25,59,CrowdStrike Offline,P4,Resolved,Security Team,65,2026-01-15,19,35,0,1,1,1,50
60,DB013,RHEL 9,Production,Database Server,Mumbai,Database Team,2026-07-25,60,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,60,61,75,92,567,60,1,7,18,19,High,2026-07-25,60,Firewall Disabled,P2,Closed,Database Team,7,2025-11-06,45,80,1,1,3,0,110
61,AUTH005,Ubuntu 22.04,Testing,Authentication Server,Bangalore,Security Team,2026-07-25,61,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,61,54,41,38,597,61,1,2,4,5,Low,2026-07-25,61,Application Not Responding,P2,Resolved,Security Team,7,2026-04-23,12,23,0,0,3,0,38
62,WEB012,RHEL 8,Development,Web Server,Bangalore,Linux Team,2026-07-25,62,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,62,32,32,28,433,62,3,4,7,18,Critical,2026-07-25,62,Disk Space Full,P4,Resolved,Linux Team,65,2026-04-03,32,56,0,0,1,1,66
63,WEB013,Ubuntu 22.04,Production,Web Server,Pune,Linux Team,2026-07-25,63,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,63,27,42,50,709,63,3,3,11,18,Critical,2026-07-25,63,Firewall Disabled,P3,Closed,Linux Team,12,2026-07-23,35,61,0,1,2,0,76
64,FILE007,RHEL 9,Production,File Server,Chennai,Windows Team,2026-07-25,64,Running,Running,Running,Enabled,Outdated,Compliant,85,Warning,64,22,43,88,122,64,0,1,8,11,Medium,2026-07-25,64,Server Down,P2,In Progress,Windows Team,2,2025-10-30,20,30,1,1,3,0,60
65,FILE008,Windows Server 2019,Testing,File Server,Chennai,Windows Team,2026-07-25,65,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,65,14,40,73,711,65,1,3,4,12,Low,2026-07-25,65,Splunk Agent Down,P2,Resolved,Windows Team,4,2026-01-01,20,33,0,1,3,0,53
66,MAIL010,Ubuntu 22.04,UAT,Mail Server,Pune,Messaging Team,2026-07-25,66,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,66,38,69,38,475,66,2,2,7,13,Low,2026-07-25,66,Firewall Disabled,P1,Open,Messaging Team,1,2025-09-20,24,41,0,0,4,0,61
67,APP013,RHEL 8,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25,67,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,67,80,50,75,367,67,0,1,5,15,Low,2026-07-25,67,Firewall Disabled,P4,Resolved,Infrastructure Team,18,2025-12-31,21,28,0,0,1,0,33
68,WEB014,RHEL 9,Testing,Web Server,Hyderabad,Linux Team,2026-07-25,68,Running,Stopped,Running,Enabled,Updated,Non-Compliant,70,Warning,68,36,48,56,297,68,3,1,5,14,Critical,2026-07-25,68,Server Down,P4,Closed,Linux Team,32,2025-10-24,23,39,2,0,1,1,69
69,API006,Windows Server 2019,UAT,API Server,Pune,Infrastructure Team,2026-07-25,69,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,69,80,58,45,574,69,0,2,8,10,Medium,2026-07-25,69,CPU Utilization High,P3,Closed,Infrastructure Team,20,2026-05-05,20,32,0,0,2,0,42
70,DB014,RHEL 8,Production,Database Server,Hyderabad,Database Team,2026-07-25,70,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,70,81,91,79,609,70,1,4,20,26,Medium,2026-07-25,70,Firewall Disabled,P4,Closed,Database Team,67,2025-12-05,51,82,0,3,1,1,107
71,APP014,Windows Server 2022,Development,Application Server,Hyderabad,Infrastructure Team,2026-07-25,71,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,71,64,56,68,461,71,0,1,8,9,Medium,2026-07-25,71,Server Down,P4,Closed,Infrastructure Team,44,2025-10-03,18,28,0,0,1,1,38
72,MAIL011,Windows Server 2019,Testing,Mail Server,Pune,Messaging Team,2026-07-25,72,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,72,48,48,53,115,72,1,4,9,11,Medium,2026-07-25,72,Memory Utilization High,P3,Resolved,Messaging Team,6,2025-09-22,25,45,0,0,2,0,55
73,APP015,Windows Server 2019,Testing,Application Server,Hyderabad,Infrastructure Team,2026-07-25,73,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,73,56,57,62,27,73,0,3,7,9,Low,2026-07-25,73,CPU Utilization High,P4,Closed,Infrastructure Team,17,2026-05-07,19,32,0,0,1,0,37
74,FILE009,RHEL 8,Development,File Server,Bangalore,Windows Team,2026-07-25,74,Running,Stopped,Running,Disabled,Outdated,Non-Compliant,40,Non-Compliant,74,18,31,84,72,74,0,2,7,6,Low,2026-07-25,74,Firewall Disabled,P3,Open,Windows Team,12,2026-02-06,15,26,4,0,2,0,76
75,API007,Ubuntu 22.04,Testing,API Server,Mumbai,Infrastructure Team,2026-07-25,75,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,75,71,56,43,286,75,1,2,8,13,Medium,2026-07-25,75,Application Not Responding,P2,Closed,Infrastructure Team,7,2025-08-26,24,39,0,0,3,0,54
76,DB015,RHEL 8,Development,Database Server,Bangalore,Database Team,2026-07-25,76,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,76,85,89,74,88,76,1,4,5,12,Low,2026-07-25,76,Application Not Responding,P4,Closed,Database Team,34,2025-11-04,22,38,0,2,1,1,58
77,APP016,RHEL 9,UAT,Application Server,Mumbai,Infrastructure Team,2026-07-25,77,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,77,55,84,54,265,77,1,3,3,13,Low,2026-07-25,77,CPU Utilization High,P2,In Progress,Infrastructure Team,3,2026-06-04,20,32,0,1,3,0,52
78,APP017,Windows Server 2019,Testing,Application Server,Pune,Infrastructure Team,2026-07-25,78,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,78,70,64,72,620,78,2,1,10,10,Medium,2026-07-25,78,Qualys Agent Missing,P2,Closed,Infrastructure Team,6,2025-12-11,23,41,0,1,3,0,61
79,API008,Windows Server 2022,Production,API Server,Hyderabad,Infrastructure Team,2026-07-25,79,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,79,49,60,53,442,79,1,5,7,5,High,2026-07-25,79,Qualys Agent Missing,P3,Resolved,Infrastructure Team,4,2026-06-23,18,38,1,0,2,0,58
80,WEB015,RHEL 9,UAT,Web Server,Hyderabad,Linux Team,2026-07-25,80,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,80,25,38,56,669,80,0,6,12,15,High,2026-07-25,80,CrowdStrike Offline,P3,Resolved,Linux Team,19,2025-08-26,33,57,0,1,2,0,72
81,API009,Windows Server 2019,Testing,API Server,Mumbai,Infrastructure Team,2026-07-25,81,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,81,70,48,41,615,81,1,5,9,9,High,2026-07-25,81,Qualys Agent Missing,P4,In Progress,Infrastructure Team,65,2026-07-01,24,46,0,1,1,1,61
82,MAIL012,RHEL 8,Development,Mail Server,Hyderabad,Messaging Team,2026-07-25,82,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,82,38,57,38,80,82,2,3,7,10,Low,2026-07-25,82,CrowdStrike Offline,P2,Open,Messaging Team,2,2025-08-11,22,41,1,0,3,0,66
83,MAIL013,RHEL 9,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25,83,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,83,34,50,59,697,83,1,2,6,9,Low,2026-07-25,83,Firewall Disabled,P4,Resolved,Messaging Team,41,2025-12-19,18,31,0,1,1,1,46
84,API010,Ubuntu 22.04,Development,API Server,Chennai,Infrastructure Team,2026-07-25,84,Running,Running,Running,Enabled,Updated,Non-Compliant,90,Compliant,84,63,51,54,296,84,1,3,10,14,Medium,2026-07-25,84,Qualys Agent Missing,P1,Resolved,Infrastructure Team,2,2025-12-09,28,47,1,0,4,0,77
85,AUTH006,RHEL 9,Testing,Authentication Server,Mumbai,Security Team,2026-07-25,85,Running,Stopped,Running,Enabled,Updated,Compliant,80,Warning,85,45,44,40,85,85,2,4,7,4,Low,2026-07-25,85,Server Down,P4,Open,Security Team,24,2026-03-31,17,38,1,0,1,0,53
86,AUTH007,RHEL 9,Production,Authentication Server,Mumbai,Security Team,2026-07-25,86,Stopped,Running,Running,Enabled,Updated,Compliant,80,Warning,86,33,48,53,552,86,1,2,2,11,Low,2026-07-25,86,Server Down,P3,Closed,Security Team,14,2025-08-20,16,25,1,0,2,0,45
87,APP018,Windows Server 2019,Production,Application Server,Hyderabad,Infrastructure Team,2026-07-25,87,Running,Running,Running,Enabled,Updated,Compliant,100,Compliant,87,65,57,49,672,87,2,5,7,17,High,2026-07-25,87,CPU Utilization High,P2,Resolved,Infrastructure Team,5,2025-07-29,31,54,0,1,3,0,74
