performance_id,server_id,cpu_usage,memory_usage,disk_usage,uptime_days
275,275,27,62,48,458
276,276,41,41,50,117
277,277,75,72,66,519
278,278,85,71,94,567
279,279,41,41,50,251
280,280,53,64,55,369
281,281,66,72,76,408
282,282,80,86,66,377
283,283,36,60,31,442
284,284,55,74,59,716
285,285,39,60,28,28
286,286,81,85,65,671
287,287,46,42,60,494
288,288,52,66,33,366
289,289,64,82,69,62
290,290,57,59,42,337
291,291,67,71,81,99
292,292,74,69,70,277
293,293,54,66,54,303
294,294,59,50,54,400
295,295,77,73,44,661
296,296,77,45,39,301
297,297,46,42,26,442
298,298,57,75,59,592
299,299,73,56,30,250
300,300,72,93,67,274
301,301,20,27,71,150
302,302,81,81,86,218
303,303,63,64,73,143
304,304,32,34,85,629
305,305,73,69,54,632
306,306,86,92,71,500
307,307,22,42,37,543
308,308,29,27,86,61
309,309,21,38,59,702
310,310,67,89,89,38
311,311,34,41,53,701
312,312,52,44,35,518
313,313,47,56,25,722
314,314,66,55,36,356
315,315,41,55,57,511
316,316,60,41,27,502
317,317,57,72,71,260
318,318,66,69,72,494
319,319,32,58,51,436
320,320,75,73,73,575
321,321,75,68,46,711
322,322,86,89,95,488
323,323,77,69,46,7
324,324,86,84,92,364
325,325,88,90,71,421
326,326,29,42,84,78
327,327,44,41,56,233
328,328,35,48,85,546
329,329,47,74,43,451
330,330,77,48,51,372
331,331,79,54,55,710
332,332,26,60,37,64
333,333,25,37,89,30
334,334,30,44,47,618
335,335,26,23,87,591
336,336,42,66,34,405
337,337,53,45,34,303
338,338,36,49,30,174
339,339,67,46,45,55
340,340,49,85,73,132
341,341,75,65,40,516
342,342,41,64,36,556
343,343,52,58,33,236
344,344,42,79,53,24
345,345,55,53,50,589
346,346,51,76,62,36
347,347,13,21,84,332
348,348,18,47,77,115
349,349,69,71,93,593
350,350,77,81,77,556
351,351,34,61,54,316
352,352,27,60,60,28
353,353,60,57,45,492
354,354,56,60,52,111
355,355,76,53,35,629
356,356,78,70,77,79
357,357,52,45,41,219
358,358,41,39,21,308
359,359,76,68,53,537
360,360,78,90,85,266
361,361,75,74,58,198
362,362,80,50,31,55
363,363,48,58,41,679
364,364,58,60,45,597
365,365,59,78,43,530
366,366,83,76,77,196
367,367,30,61,43,430
368,368,19,24,86,521
369,369,26,30,78,536
370,370,55,41,51,171
371,371,39,49,47,178
372,372,37,53,31,297
373,373,85,94,91,293
374,374,31,52,50,105
375,375,57,70,40,282
376,376,82,86,94,346
377,377,35,42,45,315
378,378,24,43,87,539
379,379,73,84,72,79
380,380,76,56,63,549
381,381,40,59,37,344
382,382,56,60,59,127
383,383,75,60,46,172
384,384,60,49,47,717
385,385,31,54,30,2
386,386,49,74,47,330
387,387,20,26,70,722
388,388,18,40,85,183
389,389,44,50,57,198
390,390,57,58,46,298
391,391,76,80,87,300
392,392,89,75,93,651
393,393,17,27,95,99
394,394,74,60,41,160
395,395,33,64,48,574
396,396,37,69,45,58
397,397,49,41,41,365
398,398,87,84,95,134
399,399,55,47,47,50
400,400,79,62,67,28
401,401,44,68,72,562
402,402,65,47,36,522
403,403,81,83,65,154
404,404,26,42,71,114
405,405,49,46,46,1
406,406,76,94,91,353
407,407,28,45,44,462
408,408,34,43,36,310
409,409,12,47,78,249
410,410,35,41,51,517
411,411,33,50,72,330
412,412,53,51,47,153
413,413,56,68,43,592
414,414,49,44,46,606
415,415,57,73,72,281
416,416,62,62,57,574
417,417,44,32,53,46
418,418,26,43,75,690
419,419,60,91,92,635
420,420,52,52,43,136
421,421,47,52,49,38
422,422,49,40,49,251
423,423,78,72,91,43
424,424,73,56,42,161
425,425,26,54,37,403
426,426,31,39,56,7
427,427,42,70,30,685
428,428,65,83,53,374
429,429,80,73,46,616
430,430,33,49,50,221
431,431,24,38,81,294
432,432,37,65,61,459
433,433,36,64,48,313
434,434,51,66,33,281
435,435,78,68,38,527
436,436,72,85,59,243
437,437,52,46,51,56
438,438,36,56,36,87
439,439,75,80,79,670
440,440,37,42,48,283
441,441,69,53,41,388
442,442,33,54,52,382
443,443,52,64,41,617
444,444,74,70,56,343
445,445,52,60,26,144
446,446,34,42,27,724
447,447,40,48,65,524
448,448,30,61,31,167
449,449,46,50,34,427
450,450,30,64,48,724
451,451,50,55,46,718
452,452,80,56,44,63
453,453,50,67,33,318
454,454,46,68,45,537
455,455,22,24,85,693
456,456,55,66,47,138
457,457,47,73,42,582
458,458,69,76,61,227
459,459,84,91,87,596
460,460,58,54,68,422
461,461,56,61,52,579
462,462,64,86,92,102
463,463,43,58,36,22
464,464,75,91,93,149
465,465,54,61,32,2
466,466,60,71,69,418
467,467,46,43,42,78
468,468,35,23,72,99
469,469,28,34,94,155
470,470,61,87,93,353
471,471,71,58,69,585
472,472,62,53,33,563
473,473,55,61,54,398
474,474,57,63,35,586
475,475,28,70,36,672
476,476,55,69,39,696
477,477,80,73,50,341
478,478,49,59,51,474
479,479,14,25,72,379
480,480,76,62,53,273
481,481,28,40,36,493
482,482,53,62,41,604
483,483,87,70,67,49
484,484,17,41,81,497
485,485,62,84,53,62
486,486,20,66,24,685
487,487,68,59,44,473
488,488,29,38,86,45
489,489,60,57,32,129
490,490,56,74,42,487
491,491,53,55,62,287
492,492,67,82,50,151
493,493,59,47,55,217
494,494,41,47,64,642
495,495,59,68,54,724
496,496,55,65,58,12
497,497,51,57,61,462
498,498,14,46,91,678
499,499,30,66,57,136
500,500,33,41,28,322
501,501,48,49,31,287
502,502,30,34,34,612
503,503,69,68,38,447
504,504,20,30,49,537
505,505,47,42,29,605
506,506,33,37,78,333
507,507,32,65,46,413
508,508,66,67,52,69
509,509,46,71,31,30
510,510,30,59,34,604
511,511,47,66,29,582
512,512,43,43,33,648
513,513,50,37,48,103
514,514,19,33,82,60
515,515,20,44,82,567
516,516,71,80,72,620
517,517,55,52,49,598
518,518,34,67,57,59
519,519,57,42,45,152
520,520,67,74,38,644
521,521,26,42,84,379
522,522,54,55,45,96
523,523,46,69,30,637
524,524,35,23,94,587
525,525,78,71,45,92
526,526,60,56,71,545
527,527,35,40,81,730
528,528,74,83,66,236
529,529,26,33,79,134
530,530,35,50,43,726
531,531,54,60,43,530
532,532,52,62,53,331
533,533,36,45,38,558
534,534,69,81,76,134
535,535,73,84,67,408
536,536,15,21,70,653
537,537,30,54,56,156
538,538,32,44,35,501
539,539,78,87,88,531
540,540,48,55,35,323
541,541,41,79,69,672
542,542,78,74,88,16
543,543,39,59,32,235
544,544,88,71,91,627
545,545,60,40,38,374
546,546,58,73,36,121
547,547,18,50,72,90
548,548,29,43,56,268
549,549,42,52,55,94
550,550,61,70,72,670
551,551,30,57,35,174
552,552,23,54,20,723
553,553,28,30,89,475
554,554,60,81,81,288
555,555,32,41,24,696
556,556,28,49,55,28
557,557,16,40,77,610
558,558,72,73,57,328
559,559,71,70,60,693
560,560,23,47,37,710
561,561,47,52,61,605
562,562,65,90,91,411
563,563,64,82,84,109
564,564,56,55,31,723
565,565,57,58,32,677
566,566,48,69,31,680
567,567,30,56,39,589
568,568,65,55,42,406
569,569,68,73,94,225
570,570,54,40,44,471
571,571,44,69,54,53
572,572,22,26,82,428
573,573,55,42,50,494
574,574,87,87,68,534
575,575,54,42,29,319
576,576,36,33,60,105
577,577,37,41,59,674
578,578,86,74,68,649
579,579,31,48,62,719
580,580,52,68,56,87
581,581,80,87,67,220
582,582,74,47,50,444
583,583,33,46,63,537
584,584,44,44,44,526
585,585,67,71,69,491
586,586,26,67,35,189
587,587,11,21,72,414
588,588,31,39,90,199
589,589,49,59,41,542
590,590,53,68,47,195
591,591,70,68,42,711
592,592,51,41,47,554
593,593,23,45,94,10
594,594,79,68,63,399
595,595,29,49,71,474
596,596,62,73,94,66
597,597,31,20,74,146
598,598,23,53,55,674
599,599,76,65,39,52
600,600,81,92,89,99
601,601,37,43,35,233
602,602,42,68,51,728
603,603,59,79,53,515
604,604,48,47,25,534
605,605,26,33,22,18
606,606,75,90,90,257
607,607,36,45,53,418
608,608,51,64,35,640
609,609,34,42,45,443
610,610,75,74,65,547
611,611,45,61,55,463
612,612,30,48,34,336
613,613,47,68,34,82
614,614,49,61,27,105
615,615,76,52,56,276
616,616,31,36,60,464
617,617,29,70,59,556
618,618,89,86,67,582
619,619,42,46,63,647
620,620,78,83,63,701
621,621,47,75,31,467
622,622,65,52,67,143
623,623,59,69,33,24
624,624,53,61,30,564
625,625,47,57,33,8
626,626,51,66,58,640
627,627,15,22,92,406
628,628,47,39,55,500
629,629,63,53,55,524
630,630,26,33,57,34
631,631,47,64,56,419
632,632,34,20,74,406
633,633,77,87,92,445
634,634,56,48,55,639
635,635,56,57,50,549
636,636,79,72,43,373
637,637,70,83,73,229
638,638,30,61,33,178
639,639,36,56,32,544
640,640,52,44,42,373
641,641,64,81,52,654
642,642,50,66,35,243
643,643,31,68,29,569
644,644,43,57,46,672
645,645,16,22,71,241
646,646,83,94,91,172
647,647,37,66,46,523
648,648,54,47,43,49
649,649,62,43,50,337
650,650,15,33,93,502
651,651,73,74,69,591
652,652,55,66,43,183
653,653,53,49,33,78
654,654,28,24,71,485
655,655,80,82,60,256
656,656,50,63,22,630
657,657,67,73,57,397
658,658,38,50,49,308
659,659,44,75,55,382
660,660,33,56,23,333
661,661,24,41,76,389
662,662,64,72,73,183
663,663,11,23,76,328
664,664,30,62,47,405
665,665,65,52,32,214
666,666,39,67,50,560
667,667,59,62,27,318
668,668,30,40,34,629
669,669,40,57,51,554
670,670,56,59,50,254
671,671,22,54,23,593
672,672,66,54,39,495
673,673,74,55,44,419
674,674,60,67,74,337
675,675,56,56,42,206
676,676,46,40,63,510
677,677,41,41,44,358
678,678,25,69,45,284
679,679,32,61,55,504
680,680,34,65,25,636
681,681,62,61,44,457
682,682,78,84,53,627
683,683,54,67,62,481
684,684,31,63,50,404
685,685,74,44,44,295
686,686,66,42,47,129
687,687,34,62,40,638
688,688,74,72,51,699
689,689,30,49,49,328
690,690,29,59,39,85
691,691,42,43,61,396
692,692,36,65,59,677
693,693,52,65,46,23
694,694,43,49,53,253
695,695,70,69,42,463
696,696,84,95,90,626
697,697,26,59,64,127
698,698,50,52,54,663
699,699,44,43,41,563
700,700,37,41,51,690
701,701,57,64,42,30
702,702,44,43,51,303
703,703,73,42,38,711
704,704,24,34,84,317
705,705,43,58,60,277
706,706,35,28,87,86
707,707,51,42,40,580
708,708,68,62,30,182
709,709,50,42,23,643
710,710,55,57,30,385
711,711,30,64,25,559
712,712,24,33,57,389
713,713,31,65,64,282
714,714,51,51,63,648
715,715,55,49,51,626
716,716,15,23,79,429
717,717,16,26,70,523
718,718,11,30,71,634
719,719,73,62,36,215
720,720,59,50,45,601
721,721,76,95,94,409
722,722,58,62,49,391
723,723,25,28,89,123
724,724,30,32,92,42
725,725,33,68,49,39
726,726,33,70,53,512
727,727,43,44,35,560
728,728,80,59,42,556
729,729,37,52,28,636
730,730,14,50,94,118
731,731,56,58,48,434
732,732,54,45,50,150
733,733,67,51,42,727
734,734,41,61,41,351
735,735,80,84,88,650
736,736,29,38,78,514
737,737,25,58,59,389
738,738,34,52,25,187
739,739,11,30,85,588
740,740,59,78,49,400
741,741,38,37,40,202
742,742,70,74,78,726
743,743,44,56,63,654
744,744,31,48,36,148
745,745,45,45,42,713
746,746,46,62,49,232
747,747,61,89,66,430
748,748,35,39,80,505
749,749,87,75,68,539
750,750,41,63,41,458
751,751,51,44,57,350
752,752,52,47,53,191
753,753,33,20,89,106
754,754,87,87,72,524
755,755,57,51,31,405
756,756,79,79,82,378
757,757,75,58,58,624
758,758,39,50,55,472
759,759,25,29,90,642
760,760,42,59,58,230
761,761,65,73,61,649
762,762,26,70,54,34
763,763,47,43,29,628
764,764,53,61,66,583
765,765,17,45,89,203
766,766,11,39,83,621
767,767,59,40,47,716
768,768,42,69,62,543
769,769,69,63,52,691
770,770,74,64,34,92
771,771,24,41,90,109
772,772,44,64,52,713
773,773,70,50,57,333
774,774,25,25,93,633
775,775,65,79,63,368
776,776,60,53,34,356
777,777,89,81,67,239
778,778,74,70,47,721
779,779,45,60,25,33
780,780,30,66,50,486
781,781,40,36,36,608
782,782,29,50,95,632
783,783,28,25,83,332
784,784,36,60,31,489
785,785,34,59,60,78
786,786,41,34,22,673
787,787,61,78,70,620
788,788,81,77,72,257
789,789,71,83,54,578
790,790,50,56,29,616
791,791,34,32,85,274
792,792,60,48,29,536
793,793,13,38,91,161
794,794,11,24,85,455
795,795,73,89,83,13
796,796,89,72,72,123
797,797,65,61,54,626
798,798,64,72,41,396
799,799,23,63,53,607
800,800,37,45,59,127
801,801,38,57,52,589
802,802,59,59,40,412
803,803,71,84,57,515
804,804,49,56,38,211
805,805,48,50,30,485
806,806,52,66,35,506
807,807,25,41,80,550
808,808,23,22,84,55
809,809,32,48,92,440
810,810,47,51,46,371
811,811,36,62,38,584
812,812,89,79,91,571
813,813,70,79,65,425
814,814,80,75,38,455
815,815,76,50,37,662
816,816,51,40,38,724
817,817,51,57,46,168
818,818,68,49,35,588
819,819,31,34,92,469
820,820,48,69,51,557
821,821,47,56,48,295
822,822,66,78,73,314
823,823,12,22,72,451
824,824,52,69,31,399
825,825,78,70,92,267
826,826,31,51,44,681
827,827,50,51,38,255
828,828,44,64,61,435
829,829,66,76,66,615
830,830,90,80,78,381
831,831,37,41,44,570
832,832,64,53,30,730
833,833,26,64,65,120
834,834,53,71,59,374
835,835,85,93,95,210
836,836,38,63,44,249
837,837,86,83,90,649
838,838,46,40,26,16
839,839,55,54,37,31
840,840,35,63,53,144
841,841,35,46,93,99
842,842,43,49,39,168
843,843,35,50,49,417
844,844,58,63,44,400
845,845,68,74,76,194
846,846,33,20,88,153
847,847,48,42,34,103
848,848,70,71,95,158
849,849,44,40,42,247
850,850,61,76,85,174
851,851,42,32,37,225
852,852,62,50,31,101
853,853,39,63,64,452
854,854,30,60,56,299
855,855,69,82,77,392
856,856,28,44,35,286
857,857,34,40,50,196
858,858,49,40,34,712
859,859,67,72,89,321
860,860,27,32,78,413
861,861,29,29,82,540
862,862,12,33,76,370
863,863,52,53,61,476
864,864,77,74,63,66
865,865,41,65,37,489
866,866,59,69,64,601
867,867,67,89,93,470
868,868,52,41,56,57
869,869,48,77,64,653
870,870,28,57,32,592
871,871,68,86,68,525
872,872,26,26,84,382
873,873,41,35,35,584
874,874,51,61,39,175
875,875,44,52,31,37
876,876,47,63,43,70
877,877,26,32,81,562
878,878,44,74,68,305
879,879,31,70,34,256
880,880,60,77,90,643
881,881,63,88,69,649
882,882,36,61,31,191
883,883,56,60,51,581
884,884,43,53,56,174
885,885,79,60,47,397
886,886,79,73,36,365
887,887,39,58,37,700
888,888,55,60,38,101
889,889,30,24,89,250
890,890,40,36,57,186
891,891,58,69,39,714
892,892,31,47,26,380
893,893,35,44,28,1
894,894,34,23,94,139
895,895,31,20,78,202
896,896,83,85,79,421
897,897,50,75,45,6
898,898,52,40,31,664
899,899,73,70,56,122
900,900,27,32,53,398
901,901,48,45,60,482
902,902,52,44,65,388
903,903,34,41,59,650
904,904,10,39,85,57
905,905,54,31,47,299
906,906,41,46,43,72
907,907,46,35,39,84
908,908,57,64,45,616
909,909,20,48,72,429
910,910,72,52,47,77
911,911,59,81,53,630
912,912,30,59,47,19
913,913,42,39,20,353
914,914,27,37,74,187
915,915,78,72,67,674
916,916,55,71,49,454
917,917,46,53,26,505
918,918,51,42,58,315
919,919,34,64,38,351
920,920,22,37,85,281
921,921,22,34,56,314
922,922,25,31,82,504
923,923,68,70,72,15
924,924,59,43,37,496
925,925,73,93,79,686
926,926,16,23,81,596
927,927,77,86,78,725
928,928,38,48,30,393
929,929,48,67,39,529
930,930,65,51,42,171
931,931,44,55,37,415
932,932,75,83,91,514
933,933,70,86,83,387
934,934,46,60,55,214
935,935,31,44,39,322
936,936,16,32,80,269
937,937,50,52,72,306
938,938,25,29,86,540
939,939,72,81,62,544
940,940,56,56,58,255
941,941,61,69,34,728
942,942,51,64,54,642
943,943,60,77,86,344
944,944,71,82,71,600
945,945,22,50,22,181
946,946,31,60,36,208
947,947,36,54,53,191
948,948,37,58,33,353
949,949,61,81,52,203
950,950,17,44,73,131
951,951,71,80,65,669
952,952,54,45,47,623
953,953,42,46,26,542
954,954,48,54,51,347
955,955,22,45,94,43
956,956,60,94,81,429
957,957,59,37,34,252
958,958,47,51,36,186
959,959,42,51,26,454
960,960,64,81,81,673
961,961,29,59,40,677
962,962,36,37,57,722
963,963,18,26,70,539
964,964,45,64,45,168
965,965,65,70,59,275
966,966,63,89,81,531
967,967,11,43,89,313
968,968,13,47,81,271
969,969,58,50,40,673
970,970,49,68,68,265
971,971,28,67,59,228
972,972,58,45,34,607
973,973,79,73,68,618
974,974,62,84,89,584
975,975,51,57,52,484
976,976,40,59,74,663
977,977,75,59,59,164
978,978,53,61,53,20
979,979,51,58,49,146
980,980,47,59,55,319
981,981,51,78,48,82
982,982,46,70,61,437
983,983,59,48,33,537
984,984,76,44,60,403
985,985,31,57,33,144
986,986,16,26,76,516
987,987,44,46,49,165
988,988,59,61,40,113
989,989,34,62,27,524
990,990,53,41,33,525
991,991,55,49,64,423
992,992,24,70,30,603
993,993,53,63,41,721
994,994,66,93,66,112
995,995,65,64,37,363
996,996,30,50,77,645
997,997,80,67,32,423
998,998,13,47,81,717
999,999,46,56,45,361
1000,1000,60,66,41,660
1001,1001,19,24,92,4
1002,1002,69,75,67,468
1003,1003,79,70,56,223
1004,1004,53,73,31,665
1005,1005,57,45,35,357
1006,1006,36,50,31,496
1007,1007,28,47,44,632
1008,1008,43,53,59,598
1009,1009,31,58,44,60
1010,1010,33,34,31,375
1011,1011,42,52,68,461
1012,1012,25,68,54,246
1013,1013,56,59,39,83
1014,1014,34,46,40,484
1015,1015,28,37,72,176
1016,1016,26,27,74,387
1017,1017,29,46,72,285
1018,1018,46,66,37,196
1019,1019,22,58,55,709
1020,1020,80,44,37,374
1021,1021,52,55,36,235
1022,1022,30,48,37,600
1023,1023,45,47,49,432
1024,1024,49,51,56,284
1025,1025,25,34,91,213
1026,1026,61,52,64,356
1027,1027,60,48,29,446
1028,1028,38,69,49,292
1029,1029,62,78,67,668
1030,1030,61,67,56,556
1031,1031,44,67,31,433
1032,1032,60,49,36,69
1033,1033,77,84,52,474
1034,1034,58,49,49,574
1035,1035,37,63,34,43
1036,1036,20,62,35,311
1037,1037,30,55,55,11
1038,1038,61,90,85,269
1039,1039,54,71,35,632
1040,1040,31,54,46,85
1041,1041,55,66,51,555
1042,1042,77,93,92,649
1043,1043,19,29,89,584
1044,1044,48,61,40,284
1045,1045,51,65,30,280
1046,1046,34,53,47,369
1047,1047,64,78,44,618
1048,1048,47,58,41,561
1049,1049,72,40,55,493
1050,1050,51,41,60,643
1051,1051,51,79,69,153
1052,1052,30,49,63,336
1053,1053,64,84,70,278
1054,1054,53,52,72,117
1055,1055,77,77,69,400
1056,1056,14,27,83,439
1057,1057,64,69,34,596
1058,1058,54,47,53,721
1059,1059,88,88,83,239
1060,1060,55,51,52,671
1061,1061,34,44,36,301
1062,1062,48,60,27,705
1063,1063,58,42,60,353
1064,1064,46,42,34,270
1065,1065,52,68,59,368
1066,1066,38,70,40,605
1067,1067,39,65,51,437
1068,1068,78,70,78,558
1069,1069,35,35,73,52
1070,1070,53,48,37,339
1071,1071,35,42,82,568
1072,1072,60,67,53,2
1073,1073,28,68,33,403
1074,1074,32,22,95,204
1075,1075,88,75,95,549
1076,1076,23,49,26,497
1077,1077,48,68,46,239
1078,1078,44,62,73,484
1079,1079,59,66,45,34
1080,1080,59,40,41,403
1081,1081,32,50,30,146
1082,1082,33,63,33,319
1083,1083,51,62,36,681
1084,1084,23,64,21,50
1085,1085,68,79,68,470
1086,1086,21,25,82,631
1087,1087,83,76,90,387
1088,1088,57,51,55,472
1089,1089,43,57,40,626
1090,1090,38,42,49,478
1091,1091,49,55,51,690
1092,1092,89,87,76,727
1093,1093,63,56,51,260
1094,1094,51,56,46,640
1095,1095,15,23,90,424
1096,1096,47,55,35,526
1097,1097,44,41,27,49
1098,1098,54,34,29,311
1099,1099,80,72,43,655
1100,1100,72,94,86,626
1101,1101,13,43,95,19
1102,1102,54,73,57,698
1103,1103,41,76,66,612
1104,1104,48,79,56,552
1105,1105,52,63,60,383
1106,1106,53,43,31,435
1107,1107,81,72,92,644
1108,1108,40,42,38,141
1109,1109,56,30,22,580
1110,1110,59,64,48,516
1111,1111,22,41,82,243
1112,1112,57,32,36,445
1113,1113,44,63,31,664
1114,1114,11,25,82,169
1115,1115,31,55,37,694
1116,1116,44,53,67,679
1117,1117,33,20,88,140
1118,1118,12,48,75,40
1119,1119,31,42,85,462
1120,1120,53,55,34,222
1121,1121,36,43,55,394
1122,1122,56,32,21,683
1123,1123,36,64,35,663
1124,1124,32,44,77,236
1125,1125,54,61,39,341
1126,1126,87,71,94,323
1127,1127,45,56,45,584
1128,1128,56,63,31,487
1129,1129,54,59,62,248
1130,1130,60,71,84,571
1131,1131,31,42,61,254
1132,1132,47,51,42,638
1133,1133,48,67,34,670
1134,1134,35,51,45,201
1135,1135,77,93,68,580
1136,1136,29,45,77,620
1137,1137,49,56,40,224
