vulnerability_id,server_id,critical_count,high_count,medium_count,low_count,risk_level,last_scan_date
103,103,2,2,6,15,Low,2026-07-25
104,104,3,5,6,13,Critical,2026-07-25
105,105,1,3,4,12,Low,2026-07-25
106,106,1,0,6,8,Low,2026-07-25
107,107,2,1,3,6,Low,2026-07-25
108,108,2,3,6,4,Low,2026-07-25
109,109,0,1,7,10,Low,2026-07-25
110,110,2,3,8,6,Medium,2026-07-25
111,111,0,4,3,11,Low,2026-07-25
112,112,1,5,12,16,High,2026-07-25
113,113,1,1,15,13,Medium,2026-07-25
114,114,0,0,4,7,Low,2026-07-25
115,115,2,1,9,12,Medium,2026-07-25
116,116,1,2,8,15,Medium,2026-07-25
117,117,2,3,8,6,Medium,2026-07-25
118,118,1,3,10,13,Medium,2026-07-25
119,119,2,1,8,9,Medium,2026-07-25
120,120,0,1,6,7,Low,2026-07-25
121,121,3,3,13,15,Critical,2026-07-25
122,122,1,3,8,6,Medium,2026-07-25
123,123,2,3,9,9,Medium,2026-07-25
124,124,0,2,11,10,Medium,2026-07-25
125,125,2,2,8,6,Medium,2026-07-25
126,126,0,0,8,10,Medium,2026-07-25
127,127,2,3,5,15,Low,2026-07-25
128,128,2,4,6,9,Low,2026-07-25
129,129,2,1,7,6,Low,2026-07-25
130,130,1,1,7,8,Low,2026-07-25
131,131,0,3,10,5,Medium,2026-07-25
132,132,2,2,6,7,Low,2026-07-25
133,133,0,0,5,9,Low,2026-07-25
134,134,2,4,2,7,Low,2026-07-25
135,135,2,2,7,15,Low,2026-07-25
136,136,0,1,13,10,Medium,2026-07-25
137,137,1,2,3,10,Low,2026-07-25
138,138,1,0,8,13,Medium,2026-07-25
139,139,2,1,2,6,Low,2026-07-25
140,140,1,3,4,9,Low,2026-07-25
141,141,0,6,14,16,High,2026-07-25
142,142,0,4,8,15,Medium,2026-07-25
143,143,0,2,10,9,Medium,2026-07-25
144,144,1,3,6,8,Low,2026-07-25
145,145,1,4,7,14,Low,2026-07-25
146,146,0,0,2,9,Low,2026-07-25
147,147,2,5,13,19,High,2026-07-25
148,148,0,2,6,6,Low,2026-07-25
149,149,1,0,2,9,Low,2026-07-25
150,150,2,4,3,10,Low,2026-07-25
151,151,0,4,7,13,Low,2026-07-25
152,152,2,1,6,10,Low,2026-07-25
153,153,1,1,5,7,Low,2026-07-25
154,154,2,2,2,6,Low,2026-07-25
155,155,1,5,4,11,High,2026-07-25
156,156,0,3,4,9,Low,2026-07-25
157,157,2,3,4,11,Low,2026-07-25
158,158,2,3,5,8,Low,2026-07-25
159,159,2,1,10,15,Medium,2026-07-25
160,160,1,5,6,12,High,2026-07-25
161,161,1,6,13,20,High,2026-07-25
162,162,1,1,6,12,Low,2026-07-25
163,163,0,3,7,6,Low,2026-07-25
164,164,0,3,9,12,Medium,2026-07-25
165,165,2,3,4,18,Low,2026-07-25
166,166,2,2,7,4,Low,2026-07-25
167,167,3,5,8,16,Critical,2026-07-25
168,168,0,2,4,8,Low,2026-07-25
169,169,1,2,12,15,Medium,2026-07-25
170,170,2,2,10,12,Medium,2026-07-25
171,171,4,10,16,26,Critical,2026-07-25
172,172,2,3,6,10,Low,2026-07-25
173,173,0,0,4,8,Low,2026-07-25
174,174,4,8,6,19,Critical,2026-07-25
175,175,2,2,7,11,Low,2026-07-25
176,176,4,10,9,26,Critical,2026-07-25
177,177,1,0,8,8,Medium,2026-07-25
178,178,3,8,14,30,Critical,2026-07-25
179,179,1,4,12,14,Medium,2026-07-25
180,180,0,2,8,9,Medium,2026-07-25
181,181,1,3,5,6,Low,2026-07-25
182,182,0,3,5,5,Low,2026-07-25
183,183,0,0,6,13,Low,2026-07-25
184,184,1,1,2,6,Low,2026-07-25
185,185,1,1,4,4,Low,2026-07-25
186,186,1,4,8,27,Medium,2026-07-25
187,187,1,3,7,10,Low,2026-07-25
188,188,0,2,5,12,Low,2026-07-25
189,189,2,2,2,6,Low,2026-07-25
190,190,0,2,10,11,Medium,2026-07-25
191,191,0,5,7,15,High,2026-07-25
192,192,4,3,12,18,Critical,2026-07-25
193,193,0,2,2,13,Low,2026-07-25
194,194,1,4,10,9,Medium,2026-07-25
195,195,2,1,5,7,Low,2026-07-25
196,196,0,2,8,10,Medium,2026-07-25
197,197,2,6,20,25,High,2026-07-25
198,198,2,2,8,11,Medium,2026-07-25
199,199,2,3,7,13,Low,2026-07-25
200,200,2,2,4,18,Low,2026-07-25
201,201,2,3,6,5,Low,2026-07-25
202,202,1,6,12,6,High,2026-07-25
203,203,2,2,5,5,Low,2026-07-25
204,204,2,4,6,11,Low,2026-07-25
205,205,0,1,12,16,Medium,2026-07-25
206,206,0,1,8,11,Medium,2026-07-25
207,207,0,1,11,13,Medium,2026-07-25
208,208,1,1,4,13,Low,2026-07-25
209,209,2,2,8,13,Medium,2026-07-25
210,210,0,1,5,13,Low,2026-07-25
211,211,1,0,6,5,Low,2026-07-25
212,212,0,3,2,7,Low,2026-07-25
213,213,0,0,4,8,Low,2026-07-25
214,214,2,1,4,5,Low,2026-07-25
215,215,1,1,3,8,Low,2026-07-25
216,216,0,5,5,17,High,2026-07-25
217,217,1,2,3,12,Low,2026-07-25
218,218,0,4,10,7,Medium,2026-07-25
219,219,1,1,8,5,Medium,2026-07-25
220,220,1,3,2,8,Low,2026-07-25
221,221,5,10,13,19,Critical,2026-07-25
222,222,0,3,2,6,Low,2026-07-25
223,223,0,3,15,10,Medium,2026-07-25
224,224,1,2,2,7,Low,2026-07-25
225,225,2,3,3,10,Low,2026-07-25
226,226,1,1,7,9,Low,2026-07-25
227,227,0,2,5,13,Low,2026-07-25
228,228,0,4,9,10,Medium,2026-07-25
229,229,1,1,8,17,Medium,2026-07-25
230,230,3,6,13,13,Critical,2026-07-25
231,231,1,4,10,14,Medium,2026-07-25
232,232,1,3,6,7,Low,2026-07-25
233,233,1,2,2,8,Low,2026-07-25
234,234,2,3,4,15,Low,2026-07-25
235,235,1,1,8,16,Medium,2026-07-25
236,236,0,1,7,15,Low,2026-07-25
237,237,2,2,4,10,Low,2026-07-25
238,238,1,3,11,7,Medium,2026-07-25
239,239,0,1,6,8,Low,2026-07-25
240,240,1,4,6,8,Low,2026-07-25
241,241,0,0,4,10,Low,2026-07-25
242,242,2,1,9,18,Medium,2026-07-25
243,243,0,2,8,11,Medium,2026-07-25
244,244,2,2,4,9,Low,2026-07-25
245,245,2,2,8,10,Medium,2026-07-25
246,246,2,6,12,18,High,2026-07-25
247,247,0,2,10,13,Medium,2026-07-25
248,248,1,4,10,10,Medium,2026-07-25
249,249,1,0,2,5,Low,2026-07-25
250,250,0,0,2,8,Low,2026-07-25
251,251,1,1,4,9,Low,2026-07-25
252,252,0,3,5,14,Low,2026-07-25
253,253,2,3,7,11,Low,2026-07-25
254,254,2,2,12,6,Medium,2026-07-25
255,255,2,1,10,10,Medium,2026-07-25
256,256,1,4,12,10,Medium,2026-07-25
257,257,1,3,6,7,Low,2026-07-25
258,258,0,6,7,23,High,2026-07-25
259,259,4,9,14,18,Critical,2026-07-25
260,260,0,1,8,9,Medium,2026-07-25
261,261,0,2,5,10,Low,2026-07-25
262,262,2,5,8,13,High,2026-07-25
263,263,1,3,11,11,Medium,2026-07-25
264,264,0,1,6,13,Low,2026-07-25
265,265,0,1,5,4,Low,2026-07-25
266,266,1,3,8,8,Medium,2026-07-25
267,267,2,4,15,15,Medium,2026-07-25
268,268,1,4,3,10,Low,2026-07-25
269,269,0,1,4,15,Low,2026-07-25
270,270,3,2,15,5,Critical,2026-07-25
271,271,2,5,9,7,High,2026-07-25
272,272,2,2,18,16,Medium,2026-07-25
273,273,1,3,6,8,Low,2026-07-25
274,274,1,4,15,5,Medium,2026-07-25
275,275,2,6,7,15,High,2026-07-25
276,276,2,2,7,8,Low,2026-07-25
277,277,0,3,11,16,Medium,2026-07-25
278,278,3,9,12,27,Critical,2026-07-25
279,279,1,3,5,13,Low,2026-07-25
280,280,0,1,5,6,Low,2026-07-25
281,281,2,7,16,27,High,2026-07-25
282,282,5,4,16,10,Critical,2026-07-25
283,283,1,4,4,6,Low,2026-07-25
284,284,0,2,5,15,Low,2026-07-25
285,285,2,4,7,6,Low,2026-07-25
286,286,5,6,10,11,Critical,2026-07-25
287,287,1,2,6,13,Low,2026-07-25
288,288,0,1,6,8,Low,2026-07-25
289,289,3,9,20,21,Critical,2026-07-25
290,290,3,3,5,13,Critical,2026-07-25
291,291,5,8,13,14,Critical,2026-07-25
292,292,0,4,3,18,Low,2026-07-25
293,293,1,3,8,8,Medium,2026-07-25
294,294,2,1,2,9,Low,2026-07-25
295,295,2,2,11,9,Medium,2026-07-25
296,296,2,5,3,8,High,2026-07-25
297,297,3,5,13,16,Critical,2026-07-25
298,298,0,5,6,6,High,2026-07-25
299,299,0,1,6,9,Low,2026-07-25
300,300,1,5,8,30,High,2026-07-25
301,301,1,3,4,14,Low,2026-07-25
302,302,1,9,19,12,High,2026-07-25
303,303,0,5,8,7,High,2026-07-25
304,304,0,0,7,5,Low,2026-07-25
305,305,2,1,9,14,Medium,2026-07-25
306,306,4,3,8,12,Critical,2026-07-25
307,307,0,5,15,6,High,2026-07-25
308,308,1,1,4,10,Low,2026-07-25
309,309,1,1,9,10,Medium,2026-07-25
310,310,1,4,20,20,Medium,2026-07-25
311,311,0,3,3,14,Low,2026-07-25
312,312,2,1,6,6,Low,2026-07-25
313,313,0,3,4,8,Low,2026-07-25
314,314,1,3,3,15,Low,2026-07-25
315,315,1,2,12,14,Medium,2026-07-25
316,316,1,4,2,4,Low,2026-07-25
317,317,2,4,9,9,Medium,2026-07-25
318,318,2,1,9,10,Medium,2026-07-25
319,319,0,4,2,9,Low,2026-07-25
320,320,0,3,11,10,Medium,2026-07-25
321,321,1,1,8,5,Medium,2026-07-25
322,322,5,7,6,22,Critical,2026-07-25
323,323,1,2,8,5,Medium,2026-07-25
324,324,2,3,11,27,Medium,2026-07-25
325,325,4,7,9,16,Critical,2026-07-25
326,326,1,1,3,15,Low,2026-07-25
327,327,0,2,9,13,Medium,2026-07-25
328,328,0,1,3,6,Low,2026-07-25
329,329,2,1,12,8,Medium,2026-07-25
330,330,1,2,10,12,Medium,2026-07-25
331,331,0,3,3,6,Low,2026-07-25
332,332,2,2,10,7,Medium,2026-07-25
333,333,1,3,5,8,Low,2026-07-25
334,334,1,4,7,14,Low,2026-07-25
335,335,1,0,7,15,Low,2026-07-25
336,336,0,3,7,6,Low,2026-07-25
337,337,2,1,4,12,Low,2026-07-25
338,338,2,1,8,8,Medium,2026-07-25
339,339,0,5,3,15,High,2026-07-25
340,340,1,2,11,16,Medium,2026-07-25
341,341,2,1,11,6,Medium,2026-07-25
342,342,2,3,8,6,Medium,2026-07-25
343,343,1,4,6,6,Low,2026-07-25
344,344,2,5,7,13,High,2026-07-25
345,345,0,2,6,9,Low,2026-07-25
346,346,1,5,5,11,High,2026-07-25
347,347,0,1,8,8,Medium,2026-07-25
348,348,0,1,4,13,Low,2026-07-25
349,349,3,9,13,22,Critical,2026-07-25
350,350,1,9,6,24,High,2026-07-25
351,351,3,1,5,18,Critical,2026-07-25
352,352,2,1,7,9,Low,2026-07-25
353,353,1,1,4,7,Low,2026-07-25
354,354,3,5,14,5,Critical,2026-07-25
355,355,0,5,6,11,High,2026-07-25
356,356,5,4,16,18,Critical,2026-07-25
357,357,0,3,2,9,Low,2026-07-25
358,358,2,1,13,18,Medium,2026-07-25
359,359,0,5,4,6,High,2026-07-25
360,360,3,10,18,26,Critical,2026-07-25
361,361,2,3,4,11,Low,2026-07-25
362,362,2,4,6,12,Low,2026-07-25
363,363,2,1,4,9,Low,2026-07-25
364,364,0,3,6,5,Low,2026-07-25
365,365,2,3,4,16,Low,2026-07-25
366,366,5,3,5,18,Critical,2026-07-25
367,367,0,3,8,7,Medium,2026-07-25
368,368,0,1,6,6,Low,2026-07-25
369,369,0,0,8,7,Medium,2026-07-25
370,370,1,4,3,6,Low,2026-07-25
371,371,1,2,10,12,Medium,2026-07-25
372,372,3,1,5,11,Critical,2026-07-25
373,373,4,5,17,23,Critical,2026-07-25
374,374,0,4,3,11,Low,2026-07-25
375,375,2,6,8,6,High,2026-07-25
376,376,2,3,17,10,Medium,2026-07-25
377,377,2,1,6,12,Low,2026-07-25
378,378,1,0,4,14,Low,2026-07-25
379,379,0,3,17,15,Medium,2026-07-25
380,380,2,3,3,13,Low,2026-07-25
381,381,2,4,4,12,Low,2026-07-25
382,382,0,3,13,11,Medium,2026-07-25
383,383,2,3,7,9,Low,2026-07-25
384,384,0,3,7,9,Low,2026-07-25
385,385,0,3,7,5,Low,2026-07-25
386,386,2,1,5,11,Low,2026-07-25
387,387,1,0,8,15,Medium,2026-07-25
388,388,1,0,5,12,Low,2026-07-25
389,389,1,3,7,13,Low,2026-07-25
390,390,0,2,3,12,Low,2026-07-25
391,391,0,10,20,17,High,2026-07-25
392,392,2,9,5,21,High,2026-07-25
393,393,0,0,7,10,Low,2026-07-25
394,394,1,1,3,8,Low,2026-07-25
395,395,2,4,9,15,Medium,2026-07-25
396,396,1,2,4,11,Low,2026-07-25
397,397,2,2,5,10,Low,2026-07-25
398,398,5,5,14,12,Critical,2026-07-25
399,399,2,4,7,12,Low,2026-07-25
400,400,2,5,11,13,High,2026-07-25
401,401,1,4,7,16,Low,2026-07-25
402,402,0,3,4,6,Low,2026-07-25
403,403,5,5,7,16,Critical,2026-07-25
404,404,1,1,7,9,Low,2026-07-25
405,405,0,2,5,8,Low,2026-07-25
406,406,1,3,11,17,Medium,2026-07-25
407,407,1,6,11,19,High,2026-07-25
408,408,0,4,2,5,Low,2026-07-25
409,409,1,0,3,12,Low,2026-07-25
410,410,1,1,10,14,Medium,2026-07-25
411,411,0,2,8,14,Medium,2026-07-25
412,412,2,3,10,11,Medium,2026-07-25
413,413,0,1,6,7,Low,2026-07-25
414,414,2,2,4,4,Low,2026-07-25
415,415,1,1,11,8,Medium,2026-07-25
416,416,0,1,3,13,Low,2026-07-25
417,417,2,1,9,20,Medium,2026-07-25
418,418,1,1,4,13,Low,2026-07-25
419,419,1,7,13,13,High,2026-07-25
420,420,1,4,5,7,Low,2026-07-25
421,421,0,1,3,7,Low,2026-07-25
422,422,1,4,6,12,Low,2026-07-25
423,423,4,10,20,29,Critical,2026-07-25
424,424,1,1,12,11,Medium,2026-07-25
425,425,0,4,9,14,Medium,2026-07-25
426,426,0,4,12,8,Medium,2026-07-25
427,427,2,2,10,10,Medium,2026-07-25
428,428,2,5,4,11,High,2026-07-25
429,429,0,2,6,10,Low,2026-07-25
430,430,0,3,8,7,Medium,2026-07-25
431,431,1,0,5,13,Low,2026-07-25
432,432,1,2,4,13,Low,2026-07-25
433,433,2,4,3,15,Low,2026-07-25
434,434,0,3,8,11,Medium,2026-07-25
435,435,2,3,8,15,Medium,2026-07-25
436,436,0,1,8,9,Medium,2026-07-25
437,437,0,3,9,7,Medium,2026-07-25
438,438,2,2,7,8,Low,2026-07-25
439,439,1,8,7,14,High,2026-07-25
440,440,2,6,4,20,High,2026-07-25
441,441,1,4,7,7,Low,2026-07-25
442,442,3,3,9,11,Critical,2026-07-25
443,443,2,1,5,17,Low,2026-07-25
444,444,0,2,6,6,Low,2026-07-25
445,445,0,1,7,5,Low,2026-07-25
446,446,3,6,12,9,Critical,2026-07-25
447,447,2,4,10,5,Medium,2026-07-25
448,448,1,3,4,13,Low,2026-07-25
449,449,0,4,3,15,Low,2026-07-25
450,450,3,3,13,13,Critical,2026-07-25
451,451,2,3,13,8,Medium,2026-07-25
452,452,2,2,9,12,Medium,2026-07-25
453,453,0,4,3,5,Low,2026-07-25
454,454,2,1,7,13,Low,2026-07-25
455,455,1,1,7,10,Low,2026-07-25
456,456,1,4,2,13,Low,2026-07-25
457,457,1,4,8,15,Medium,2026-07-25
458,458,0,2,11,8,Medium,2026-07-25
459,459,4,9,7,23,Critical,2026-07-25
460,460,1,5,4,17,High,2026-07-25
461,461,1,4,4,10,Low,2026-07-25
462,462,1,5,15,29,High,2026-07-25
463,463,2,4,11,16,Medium,2026-07-25
464,464,5,7,19,17,Critical,2026-07-25
465,465,2,1,6,9,Low,2026-07-25
466,466,1,3,14,21,Medium,2026-07-25
467,467,0,1,2,7,Low,2026-07-25
468,468,1,2,7,10,Low,2026-07-25
469,469,0,1,3,8,Low,2026-07-25
470,470,0,5,13,20,High,2026-07-25
471,471,2,2,3,9,Low,2026-07-25
472,472,0,1,7,14,Low,2026-07-25
473,473,2,1,10,13,Medium,2026-07-25
474,474,0,1,2,5,Low,2026-07-25
475,475,1,3,3,6,Low,2026-07-25
476,476,2,4,7,7,Low,2026-07-25
477,477,2,1,10,8,Medium,2026-07-25
478,478,0,2,10,8,Medium,2026-07-25
479,479,1,2,7,12,Low,2026-07-25
480,480,1,2,10,16,Medium,2026-07-25
481,481,0,3,3,11,Low,2026-07-25
482,482,0,4,7,9,Low,2026-07-25
483,483,0,9,18,12,High,2026-07-25
484,484,0,1,8,6,Medium,2026-07-25
485,485,1,3,5,15,Low,2026-07-25
486,486,0,5,10,17,High,2026-07-25
487,487,0,4,4,10,Low,2026-07-25
488,488,0,3,4,13,Low,2026-07-25
489,489,1,1,7,14,Low,2026-07-25
490,490,0,2,12,10,Medium,2026-07-25
491,491,1,3,10,10,Medium,2026-07-25
492,492,0,1,4,16,Low,2026-07-25
493,493,3,5,8,10,Critical,2026-07-25
494,494,2,3,5,11,Low,2026-07-25
495,495,1,3,3,4,Low,2026-07-25
496,496,1,3,5,6,Low,2026-07-25
497,497,0,1,12,13,Medium,2026-07-25
498,498,1,0,8,5,Medium,2026-07-25
499,499,2,1,9,14,Medium,2026-07-25
500,500,2,4,5,8,Low,2026-07-25
501,501,2,4,8,5,Medium,2026-07-25
502,502,3,5,9,8,Critical,2026-07-25
503,503,1,5,10,11,High,2026-07-25
504,504,1,5,13,20,High,2026-07-25
505,505,2,4,8,6,Medium,2026-07-25
506,506,1,2,7,5,Low,2026-07-25
507,507,0,2,10,11,Medium,2026-07-25
508,508,1,3,8,14,Medium,2026-07-25
509,509,0,3,4,9,Low,2026-07-25
510,510,0,3,4,6,Low,2026-07-25
511,511,0,3,4,11,Low,2026-07-25
512,512,1,2,3,11,Low,2026-07-25
513,513,1,3,11,14,Medium,2026-07-25
514,514,1,2,5,8,Low,2026-07-25
515,515,0,1,2,9,Low,2026-07-25
516,516,1,5,19,16,High,2026-07-25
517,517,0,1,6,10,Low,2026-07-25
518,518,0,2,7,14,Low,2026-07-25
519,519,2,1,5,5,Low,2026-07-25
520,520,1,3,4,10,Low,2026-07-25
521,521,0,3,5,6,Low,2026-07-25
522,522,2,1,7,10,Low,2026-07-25
523,523,2,4,12,16,Medium,2026-07-25
524,524,0,2,6,6,Low,2026-07-25
525,525,2,5,11,12,High,2026-07-25
526,526,1,4,6,16,Low,2026-07-25
527,527,0,1,8,12,Medium,2026-07-25
528,528,4,9,19,24,Critical,2026-07-25
529,529,0,0,2,10,Low,2026-07-25
530,530,2,2,3,8,Low,2026-07-25
531,531,0,4,7,11,Low,2026-07-25
532,532,2,1,8,14,Medium,2026-07-25
533,533,1,5,4,20,High,2026-07-25
534,534,1,5,12,30,High,2026-07-25
535,535,5,5,13,17,Critical,2026-07-25
536,536,0,1,2,15,Low,2026-07-25
537,537,0,3,11,9,Medium,2026-07-25
538,538,2,4,2,12,Low,2026-07-25
539,539,4,8,12,10,Critical,2026-07-25
540,540,1,5,5,13,High,2026-07-25
541,541,0,5,3,15,High,2026-07-25
542,542,3,9,6,24,Critical,2026-07-25
543,543,1,4,3,7,Low,2026-07-25
544,544,4,7,9,24,Critical,2026-07-25
545,545,2,3,5,11,Low,2026-07-25
546,546,1,5,6,11,High,2026-07-25
547,547,0,3,6,10,Low,2026-07-25
548,548,2,3,8,17,Medium,2026-07-25
549,549,0,4,10,7,Medium,2026-07-25
550,550,1,1,11,9,Medium,2026-07-25
551,551,1,2,10,5,Medium,2026-07-25
552,552,3,1,15,7,Critical,2026-07-25
553,553,1,2,4,15,Low,2026-07-25
554,554,5,2,17,28,Critical,2026-07-25
555,555,3,2,11,7,Critical,2026-07-25
556,556,2,3,6,6,Low,2026-07-25
557,557,0,2,7,11,Low,2026-07-25
558,558,2,2,8,10,Medium,2026-07-25
559,559,2,2,10,6,Medium,2026-07-25
560,560,3,4,11,11,Critical,2026-07-25
561,561,0,3,3,7,Low,2026-07-25
562,562,0,5,17,28,High,2026-07-25
563,563,2,6,9,15,High,2026-07-25
564,564,0,1,4,15,Low,2026-07-25
565,565,1,2,8,10,Medium,2026-07-25
566,566,1,4,10,7,Medium,2026-07-25
567,567,2,3,8,5,Medium,2026-07-25
568,568,1,5,5,9,High,2026-07-25
569,569,4,2,16,11,Critical,2026-07-25
570,570,2,4,10,18,Medium,2026-07-25
571,571,1,3,2,8,Low,2026-07-25
572,572,1,1,2,8,Low,2026-07-25
573,573,0,4,2,6,Low,2026-07-25
574,574,5,6,16,29,Critical,2026-07-25
575,575,1,3,2,5,Low,2026-07-25
576,576,2,3,5,20,Low,2026-07-25
577,577,1,4,4,7,Low,2026-07-25
578,578,3,2,15,16,Critical,2026-07-25
579,579,1,3,10,8,Medium,2026-07-25
580,580,2,2,5,8,Low,2026-07-25
581,581,3,2,11,27,Critical,2026-07-25
582,582,1,4,9,7,Medium,2026-07-25
583,583,2,1,6,13,Low,2026-07-25
584,584,2,3,12,6,Medium,2026-07-25
585,585,1,1,3,6,Low,2026-07-25
586,586,2,4,3,5,Low,2026-07-25
587,587,1,1,7,7,Low,2026-07-25
588,588,0,1,7,5,Low,2026-07-25
589,589,0,2,4,5,Low,2026-07-25
590,590,1,2,8,6,Medium,2026-07-25
591,591,1,3,3,8,Low,2026-07-25
592,592,2,5,10,15,High,2026-07-25
593,593,0,2,8,9,Medium,2026-07-25
594,594,2,1,9,12,Medium,2026-07-25
595,595,0,0,8,11,Medium,2026-07-25
596,596,1,8,16,24,High,2026-07-25
597,597,1,0,4,5,Low,2026-07-25
598,598,1,2,11,12,Medium,2026-07-25
599,599,2,3,5,11,Low,2026-07-25
600,600,3,5,9,11,Critical,2026-07-25
601,601,2,1,7,5,Low,2026-07-25
602,602,0,4,9,14,Medium,2026-07-25
603,603,0,5,9,9,High,2026-07-25
604,604,0,2,4,10,Low,2026-07-25
605,605,2,2,5,5,Low,2026-07-25
606,606,4,5,12,28,Critical,2026-07-25
607,607,0,1,2,10,Low,2026-07-25
608,608,1,3,5,6,Low,2026-07-25
609,609,2,4,4,7,Low,2026-07-25
610,610,0,7,13,25,High,2026-07-25
611,611,2,2,13,6,Medium,2026-07-25
612,612,1,4,7,20,Low,2026-07-25
613,613,2,3,3,13,Low,2026-07-25
614,614,1,2,5,8,Low,2026-07-25
615,615,1,5,10,9,High,2026-07-25
616,616,3,3,6,13,Critical,2026-07-25
617,617,2,4,9,9,Medium,2026-07-25
618,618,2,9,20,20,High,2026-07-25
619,619,1,2,3,6,Low,2026-07-25
620,620,0,2,7,16,Low,2026-07-25
621,621,1,2,9,11,Medium,2026-07-25
622,622,0,2,4,9,Low,2026-07-25
623,623,0,3,10,11,Medium,2026-07-25
624,624,0,1,7,13,Low,2026-07-25
625,625,1,5,4,14,High,2026-07-25
