server_id,hostname,operating_system,environment,server_type,location,owner_team,created_date
72,MAIL011,Windows Server 2019,Testing,Mail Server,Pune,Messaging Team,2026-07-25
73,APP015,Windows Server 2019,Testing,Application Server,Hyderabad,Infrastructure Team,2026-07-25
74,FILE009,RHEL 8,Development,File Server,Bangalore,Windows Team,2026-07-25
75,API007,Ubuntu 22.04,Testing,API Server,Mumbai,Infrastructure Team,2026-07-25
76,DB015,RHEL 8,Development,Database Server,Bangalore,Database Team,2026-07-25
77,APP016,RHEL 9,UAT,Application Server,Mumbai,Infrastructure Team,2026-07-25
78,APP017,Windows Server 2019,Testing,Application Server,Pune,Infrastructure Team,2026-07-25
79,API008,Windows Server 2022,Production,API Server,Hyderabad,Infrastructure Team,2026-07-25
80,WEB015,RHEL 9,UAT,Web Server,Hyderabad,Linux Team,2026-07-25
81,API009,Windows Server 2019,Testing,API Server,Mumbai,Infrastructure Team,2026-07-25
82,MAIL012,RHEL 8,Development,Mail Server,Hyderabad,Messaging Team,2026-07-25
83,MAIL013,RHEL 9,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25
84,API010,Ubuntu 22.04,Development,API Server,Chennai,Infrastructure Team,2026-07-25
85,AUTH006,RHEL 9,Testing,Authentication Server,Mumbai,Security Team,2026-07-25
86,AUTH007,RHEL 9,Production,Authentication Server,Mumbai,Security Team,2026-07-25
87,APP018,Windows Server 2019,Production,Application Server,Hyderabad,Infrastructure Team,2026-07-25
88,MAIL014,Windows Server 2019,UAT,Mail Server,Chennai,Messaging Team,2026-07-25
89,AUTH008,RHEL 9,Production,Authentication Server,Bangalore,Security Team,2026-07-25
90,FILE010,Windows Server 2022,Production,File Server,Chennai,Windows Team,2026-07-25
91,DB016,Windows Server 2022,Production,Database Server,Chennai,Database Team,2026-07-25
92,APP019,RHEL 9,Development,Application Server,Hyderabad,Infrastructure Team,2026-07-25
93,AUTH009,Windows Server 2022,Production,Authentication Server,Hyderabad,Security Team,2026-07-25
94,AUTH010,Windows Server 2022,Testing,Authentication Server,Pune,Security Team,2026-07-25
95,DB017,Windows Server 2022,Testing,Database Server,Bangalore,Database Team,2026-07-25
96,APP020,RHEL 8,Testing,Application Server,Mumbai,Infrastructure Team,2026-07-25
97,APP021,RHEL 9,Development,Application Server,Chennai,Infrastructure Team,2026-07-25
98,API011,Windows Server 2019,Production,API Server,Chennai,Infrastructure Team,2026-07-25
99,DB018,RHEL 9,Production,Database Server,Hyderabad,Database Team,2026-07-25
100,AUTH011,Windows Server 2022,UAT,Authentication Server,Chennai,Security Team,2026-07-25
101,AUTH012,RHEL 9,UAT,Authentication Server,Pune,Security Team,2026-07-25
102,FILE011,Ubuntu 22.04,Testing,File Server,Bangalore,Windows Team,2026-07-25
103,APP022,RHEL 9,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25
104,WEB016,RHEL 8,Production,Web Server,Bangalore,Linux Team,2026-07-25
105,FILE012,Ubuntu 22.04,UAT,File Server,Chennai,Windows Team,2026-07-25
106,FILE013,Windows Server 2022,UAT,File Server,Mumbai,Windows Team,2026-07-25
107,MAIL015,Ubuntu 22.04,Production,Mail Server,Hyderabad,Messaging Team,2026-07-25
108,AUTH013,RHEL 8,Testing,Authentication Server,Bangalore,Security Team,2026-07-25
109,MAIL016,RHEL 9,Development,Mail Server,Mumbai,Messaging Team,2026-07-25
110,API012,Windows Server 2019,Testing,API Server,Bangalore,Infrastructure Team,2026-07-25
111,MAIL017,Ubuntu 22.04,Production,Mail Server,Pune,Messaging Team,2026-07-25
112,APP023,RHEL 8,Development,Application Server,Bangalore,Infrastructure Team,2026-07-25
113,WEB017,RHEL 9,Development,Web Server,Chennai,Linux Team,2026-07-25
114,FILE014,RHEL 8,UAT,File Server,Hyderabad,Windows Team,2026-07-25
115,API013,Ubuntu 22.04,Production,API Server,Chennai,Infrastructure Team,2026-07-25
116,MAIL018,Windows Server 2022,UAT,Mail Server,Hyderabad,Messaging Team,2026-07-25
117,APP024,Ubuntu 22.04,UAT,Application Server,Mumbai,Infrastructure Team,2026-07-25
118,MAIL019,RHEL 8,Production,Mail Server,Chennai,Messaging Team,2026-07-25
119,AUTH014,Windows Server 2022,Development,Authentication Server,Bangalore,Security Team,2026-07-25
120,FILE015,Windows Server 2022,Testing,File Server,Hyderabad,Windows Team,2026-07-25
121,WEB018,RHEL 9,Testing,Web Server,Chennai,Linux Team,2026-07-25
122,APP025,Windows Server 2019,Testing,Application Server,Pune,Infrastructure Team,2026-07-25
123,MAIL020,RHEL 8,Production,Mail Server,Hyderabad,Messaging Team,2026-07-25
124,APP026,Ubuntu 22.04,Development,Application Server,Mumbai,Infrastructure Team,2026-07-25
125,MAIL021,Windows Server 2019,Production,Mail Server,Mumbai,Messaging Team,2026-07-25
126,FILE016,Ubuntu 22.04,UAT,File Server,Pune,Windows Team,2026-07-25
127,API014,Ubuntu 22.04,Development,API Server,Chennai,Infrastructure Team,2026-07-25
128,MAIL022,RHEL 9,Production,Mail Server,Mumbai,Messaging Team,2026-07-25
129,APP027,Windows Server 2022,Testing,Application Server,Bangalore,Infrastructure Team,2026-07-25
130,FILE017,RHEL 9,Testing,File Server,Pune,Windows Team,2026-07-25
131,WEB019,Ubuntu 22.04,UAT,Web Server,Bangalore,Linux Team,2026-07-25
132,MAIL023,Windows Server 2019,UAT,Mail Server,Mumbai,Messaging Team,2026-07-25
133,FILE018,RHEL 8,UAT,File Server,Hyderabad,Windows Team,2026-07-25
134,MAIL024,RHEL 8,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25
135,MAIL025,Windows Server 2019,UAT,Mail Server,Pune,Messaging Team,2026-07-25
136,WEB020,RHEL 9,UAT,Web Server,Bangalore,Linux Team,2026-07-25
137,AUTH015,RHEL 8,Testing,Authentication Server,Hyderabad,Security Team,2026-07-25
138,FILE019,Ubuntu 22.04,Testing,File Server,Mumbai,Windows Team,2026-07-25
139,AUTH016,Ubuntu 22.04,UAT,Authentication Server,Pune,Security Team,2026-07-25
140,WEB021,Windows Server 2022,UAT,Web Server,Chennai,Linux Team,2026-07-25
141,WEB022,RHEL 8,UAT,Web Server,Mumbai,Linux Team,2026-07-25
142,MAIL026,RHEL 9,UAT,Mail Server,Hyderabad,Messaging Team,2026-07-25
143,API015,RHEL 9,Development,API Server,Mumbai,Infrastructure Team,2026-07-25
144,APP028,Windows Server 2019,Production,Application Server,Chennai,Infrastructure Team,2026-07-25
145,APP029,RHEL 9,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25
146,FILE020,RHEL 9,Production,File Server,Mumbai,Windows Team,2026-07-25
147,DB019,Ubuntu 22.04,UAT,Database Server,Mumbai,Database Team,2026-07-25
148,FILE021,RHEL 9,Testing,File Server,Bangalore,Windows Team,2026-07-25
149,FILE022,RHEL 9,Production,File Server,Pune,Windows Team,2026-07-25
150,AUTH017,RHEL 9,Production,Authentication Server,Pune,Security Team,2026-07-25
151,API016,Windows Server 2022,Testing,API Server,Bangalore,Infrastructure Team,2026-07-25
152,AUTH018,RHEL 9,UAT,Authentication Server,Chennai,Security Team,2026-07-25
153,FILE023,Ubuntu 22.04,UAT,File Server,Bangalore,Windows Team,2026-07-25
154,MAIL027,Windows Server 2022,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25
155,APP030,Windows Server 2022,Production,Application Server,Mumbai,Infrastructure Team,2026-07-25
156,API017,Windows Server 2019,Testing,API Server,Hyderabad,Infrastructure Team,2026-07-25
157,APP031,Windows Server 2022,Testing,Application Server,Bangalore,Infrastructure Team,2026-07-25
158,API018,Ubuntu 22.04,Production,API Server,Bangalore,Infrastructure Team,2026-07-25
159,APP032,Windows Server 2022,UAT,Application Server,Bangalore,Infrastructure Team,2026-07-25
160,APP033,Ubuntu 22.04,Development,Application Server,Mumbai,Infrastructure Team,2026-07-25
161,WEB023,RHEL 8,Production,Web Server,Hyderabad,Linux Team,2026-07-25
162,MAIL028,RHEL 8,UAT,Mail Server,Bangalore,Messaging Team,2026-07-25
163,AUTH019,Ubuntu 22.04,Testing,Authentication Server,Bangalore,Security Team,2026-07-25
164,WEB024,Windows Server 2019,Testing,Web Server,Hyderabad,Linux Team,2026-07-25
165,APP034,Windows Server 2022,Production,Application Server,Chennai,Infrastructure Team,2026-07-25
166,AUTH020,Ubuntu 22.04,Development,Authentication Server,Mumbai,Security Team,2026-07-25
167,WEB025,Windows Server 2022,Production,Web Server,Bangalore,Linux Team,2026-07-25
168,MAIL029,Ubuntu 22.04,Testing,Mail Server,Mumbai,Messaging Team,2026-07-25
169,DB020,Ubuntu 22.04,Production,Database Server,Chennai,Database Team,2026-07-25
170,MAIL030,Ubuntu 22.04,Production,Mail Server,Pune,Messaging Team,2026-07-25
171,DB021,Windows Server 2022,Production,Database Server,Hyderabad,Database Team,2026-07-25
172,APP035,Windows Server 2019,Testing,Application Server,Pune,Infrastructure Team,2026-07-25
173,FILE024,Windows Server 2022,Production,File Server,Hyderabad,Windows Team,2026-07-25
174,DB022,RHEL 8,UAT,Database Server,Hyderabad,Database Team,2026-07-25
175,API019,RHEL 9,Development,API Server,Pune,Infrastructure Team,2026-07-25
176,DB023,Windows Server 2022,Testing,Database Server,Chennai,Database Team,2026-07-25
177,FILE025,Windows Server 2022,Development,File Server,Hyderabad,Windows Team,2026-07-25
178,DB024,Ubuntu 22.04,Production,Database Server,Pune,Database Team,2026-07-25
179,APP036,RHEL 9,Development,Application Server,Mumbai,Infrastructure Team,2026-07-25
180,AUTH021,Ubuntu 22.04,Development,Authentication Server,Chennai,Security Team,2026-07-25
181,FILE026,RHEL 8,Development,File Server,Bangalore,Windows Team,2026-07-25
182,FILE027,RHEL 8,Development,File Server,Mumbai,Windows Team,2026-07-25
183,FILE028,Windows Server 2019,Testing,File Server,Mumbai,Windows Team,2026-07-25
184,MAIL031,Ubuntu 22.04,Testing,Mail Server,Mumbai,Messaging Team,2026-07-25
185,AUTH022,RHEL 9,UAT,Authentication Server,Mumbai,Security Team,2026-07-25
186,DB025,Windows Server 2019,Development,Database Server,Mumbai,Database Team,2026-07-25
187,FILE029,Windows Server 2022,Development,File Server,Bangalore,Windows Team,2026-07-25
188,MAIL032,Windows Server 2019,Development,Mail Server,Mumbai,Messaging Team,2026-07-25
189,MAIL033,RHEL 8,UAT,Mail Server,Hyderabad,Messaging Team,2026-07-25
190,DB026,Windows Server 2019,Production,Database Server,Bangalore,Database Team,2026-07-25
191,API020,RHEL 9,Production,API Server,Pune,Infrastructure Team,2026-07-25
192,DB027,RHEL 9,Testing,Database Server,Mumbai,Database Team,2026-07-25
193,FILE030,Windows Server 2022,Testing,File Server,Bangalore,Windows Team,2026-07-25
194,API021,Ubuntu 22.04,UAT,API Server,Hyderabad,Infrastructure Team,2026-07-25
195,APP037,Ubuntu 22.04,UAT,Application Server,Pune,Infrastructure Team,2026-07-25
196,APP038,Windows Server 2022,UAT,Application Server,Hyderabad,Infrastructure Team,2026-07-25
197,DB028,RHEL 9,UAT,Database Server,Mumbai,Database Team,2026-07-25
198,MAIL034,Ubuntu 22.04,Production,Mail Server,Mumbai,Messaging Team,2026-07-25
199,MAIL035,Windows Server 2019,UAT,Mail Server,Chennai,Messaging Team,2026-07-25
200,APP039,Ubuntu 22.04,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25
201,AUTH023,Windows Server 2022,UAT,Authentication Server,Mumbai,Security Team,2026-07-25
202,WEB026,RHEL 9,UAT,Web Server,Hyderabad,Linux Team,2026-07-25
203,MAIL036,RHEL 9,Production,Mail Server,Pune,Messaging Team,2026-07-25
204,MAIL037,RHEL 8,Development,Mail Server,Hyderabad,Messaging Team,2026-07-25
205,WEB027,RHEL 9,Testing,Web Server,Chennai,Linux Team,2026-07-25
206,AUTH024,RHEL 9,UAT,Authentication Server,Bangalore,Security Team,2026-07-25
207,APP040,RHEL 8,Development,Application Server,Hyderabad,Infrastructure Team,2026-07-25
208,API022,RHEL 8,Testing,API Server,Hyderabad,Infrastructure Team,2026-07-25
209,WEB028,Windows Server 2022,Testing,Web Server,Mumbai,Linux Team,2026-07-25
210,API023,Windows Server 2022,Production,API Server,Hyderabad,Infrastructure Team,2026-07-25
211,FILE031,Windows Server 2019,UAT,File Server,Bangalore,Windows Team,2026-07-25
212,FILE032,RHEL 8,Testing,File Server,Pune,Windows Team,2026-07-25
213,FILE033,RHEL 8,Testing,File Server,Pune,Windows Team,2026-07-25
214,MAIL038,RHEL 8,Development,Mail Server,Bangalore,Messaging Team,2026-07-25
215,AUTH025,Windows Server 2022,Production,Authentication Server,Chennai,Security Team,2026-07-25
216,WEB029,RHEL 8,Development,Web Server,Mumbai,Linux Team,2026-07-25
217,MAIL039,Windows Server 2022,UAT,Mail Server,Pune,Messaging Team,2026-07-25
218,MAIL040,Windows Server 2022,Production,Mail Server,Bangalore,Messaging Team,2026-07-25
219,MAIL041,Windows Server 2019,Testing,Mail Server,Hyderabad,Messaging Team,2026-07-25
220,FILE034,Ubuntu 22.04,Testing,File Server,Mumbai,Windows Team,2026-07-25
221,DB029,RHEL 9,Production,Database Server,Pune,Database Team,2026-07-25
222,AUTH026,Ubuntu 22.04,Development,Authentication Server,Chennai,Security Team,2026-07-25
223,WEB030,RHEL 9,Testing,Web Server,Bangalore,Linux Team,2026-07-25
224,FILE035,RHEL 8,UAT,File Server,Chennai,Windows Team,2026-07-25
225,MAIL042,RHEL 8,Testing,Mail Server,Chennai,Messaging Team,2026-07-25
226,AUTH027,Ubuntu 22.04,Development,Authentication Server,Pune,Security Team,2026-07-25
227,MAIL043,Ubuntu 22.04,UAT,Mail Server,Pune,Messaging Team,2026-07-25
228,APP041,Windows Server 2022,Development,Application Server,Mumbai,Infrastructure Team,2026-07-25
229,APP042,RHEL 9,Testing,Application Server,Pune,Infrastructure Team,2026-07-25
230,WEB031,RHEL 8,Production,Web Server,Pune,Linux Team,2026-07-25
231,API024,RHEL 9,Testing,API Server,Mumbai,Infrastructure Team,2026-07-25
232,API025,Ubuntu 22.04,Testing,API Server,Bangalore,Infrastructure Team,2026-07-25
233,MAIL044,RHEL 8,UAT,Mail Server,Mumbai,Messaging Team,2026-07-25
234,MAIL045,RHEL 8,Development,Mail Server,Bangalore,Messaging Team,2026-07-25
235,APP043,Ubuntu 22.04,UAT,Application Server,Pune,Infrastructure Team,2026-07-25
236,API026,RHEL 9,Development,API Server,Pune,Infrastructure Team,2026-07-25
237,MAIL046,RHEL 8,Production,Mail Server,Chennai,Messaging Team,2026-07-25
238,WEB032,Windows Server 2019,Production,Web Server,Hyderabad,Linux Team,2026-07-25
239,AUTH028,RHEL 9,Testing,Authentication Server,Chennai,Security Team,2026-07-25
240,AUTH029,Ubuntu 22.04,Testing,Authentication Server,Pune,Security Team,2026-07-25
241,FILE036,Windows Server 2019,UAT,File Server,Bangalore,Windows Team,2026-07-25
242,WEB033,RHEL 9,Testing,Web Server,Bangalore,Linux Team,2026-07-25
243,FILE037,RHEL 8,Testing,File Server,Chennai,Windows Team,2026-07-25
244,AUTH030,Windows Server 2022,Production,Authentication Server,Chennai,Security Team,2026-07-25
245,MAIL047,Windows Server 2019,Testing,Mail Server,Pune,Messaging Team,2026-07-25
246,WEB034,RHEL 8,Production,Web Server,Mumbai,Linux Team,2026-07-25
247,API027,RHEL 8,UAT,API Server,Mumbai,Infrastructure Team,2026-07-25
248,API028,RHEL 9,UAT,API Server,Bangalore,Infrastructure Team,2026-07-25
249,FILE038,Windows Server 2019,Testing,File Server,Mumbai,Windows Team,2026-07-25
250,FILE039,RHEL 9,Development,File Server,Chennai,Windows Team,2026-07-25
251,APP044,RHEL 8,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25
252,FILE040,RHEL 8,Testing,File Server,Bangalore,Windows Team,2026-07-25
253,AUTH031,Ubuntu 22.04,Testing,Authentication Server,Chennai,Security Team,2026-07-25
254,APP045,Windows Server 2019,Testing,Application Server,Hyderabad,Infrastructure Team,2026-07-25
255,MAIL048,Windows Server 2019,Production,Mail Server,Hyderabad,Messaging Team,2026-07-25
256,APP046,Windows Server 2022,Testing,Application Server,Pune,Infrastructure Team,2026-07-25
257,MAIL049,RHEL 8,Development,Mail Server,Pune,Messaging Team,2026-07-25
258,DB030,Ubuntu 22.04,UAT,Database Server,Pune,Database Team,2026-07-25
259,DB031,RHEL 9,UAT,Database Server,Mumbai,Database Team,2026-07-25
260,WEB035,Ubuntu 22.04,Production,Web Server,Chennai,Linux Team,2026-07-25
261,API029,Windows Server 2019,Production,API Server,Bangalore,Infrastructure Team,2026-07-25
262,API030,Ubuntu 22.04,Testing,API Server,Chennai,Infrastructure Team,2026-07-25
263,APP047,Windows Server 2022,Testing,Application Server,Pune,Infrastructure Team,2026-07-25
264,FILE041,RHEL 9,Production,File Server,Bangalore,Windows Team,2026-07-25
265,AUTH032,Windows Server 2019,UAT,Authentication Server,Hyderabad,Security Team,2026-07-25
266,FILE042,RHEL 9,UAT,File Server,Chennai,Windows Team,2026-07-25
267,WEB036,RHEL 8,Testing,Web Server,Pune,Linux Team,2026-07-25
268,AUTH033,Windows Server 2019,Testing,Authentication Server,Chennai,Security Team,2026-07-25
269,FILE043,Ubuntu 22.04,Development,File Server,Chennai,Windows Team,2026-07-25
270,WEB037,Windows Server 2019,Production,Web Server,Bangalore,Linux Team,2026-07-25
271,API031,Ubuntu 22.04,Production,API Server,Pune,Infrastructure Team,2026-07-25
272,DB032,Windows Server 2019,Testing,Database Server,Mumbai,Database Team,2026-07-25
273,APP048,RHEL 9,Testing,Application Server,Hyderabad,Infrastructure Team,2026-07-25
274,WEB038,Windows Server 2022,UAT,Web Server,Bangalore,Linux Team,2026-07-25
275,WEB039,RHEL 8,Production,Web Server,Hyderabad,Linux Team,2026-07-25
276,AUTH034,Windows Server 2019,Production,Authentication Server,Bangalore,Security Team,2026-07-25
277,APP049,RHEL 8,Development,Application Server,Chennai,Infrastructure Team,2026-07-25
278,DB033,RHEL 8,Development,Database Server,Bangalore,Database Team,2026-07-25
279,MAIL050,RHEL 8,Testing,Mail Server,Chennai,Messaging Team,2026-07-25
280,API032,Windows Server 2022,Production,API Server,Bangalore,Infrastructure Team,2026-07-25
281,DB034,Windows Server 2019,Testing,Database Server,Bangalore,Database Team,2026-07-25
282,DB035,Windows Server 2019,Production,Database Server,Chennai,Database Team,2026-07-25
283,AUTH035,Windows Server 2022,UAT,Authentication Server,Chennai,Security Team,2026-07-25
284,API033,Windows Server 2022,UAT,API Server,Chennai,Infrastructure Team,2026-07-25
285,AUTH036,Windows Server 2022,Development,Authentication Server,Hyderabad,Security Team,2026-07-25
286,DB036,RHEL 9,Testing,Database Server,Hyderabad,Database Team,2026-07-25
287,API034,Windows Server 2019,Production,API Server,Pune,Infrastructure Team,2026-07-25
288,AUTH037,Windows Server 2022,UAT,Authentication Server,Chennai,Security Team,2026-07-25
289,DB037,Windows Server 2019,Production,Database Server,Bangalore,Database Team,2026-07-25
290,WEB040,Windows Server 2019,Development,Web Server,Pune,Linux Team,2026-07-25
291,DB038,Windows Server 2022,Testing,Database Server,Pune,Database Team,2026-07-25
292,APP050,Ubuntu 22.04,Production,Application Server,Hyderabad,Infrastructure Team,2026-07-25
293,AUTH038,RHEL 8,Testing,Authentication Server,Pune,Security Team,2026-07-25
294,AUTH039,Ubuntu 22.04,UAT,Authentication Server,Hyderabad,Security Team,2026-07-25
295,APP051,RHEL 8,Testing,Application Server,Chennai,Infrastructure Team,2026-07-25
296,API035,RHEL 8,Testing,API Server,Pune,Infrastructure Team,2026-07-25
297,WEB041,RHEL 9,Testing,Web Server,Mumbai,Linux Team,2026-07-25
298,API036,Windows Server 2022,Production,API Server,Pune,Infrastructure Team,2026-07-25
299,API037,Ubuntu 22.04,UAT,API Server,Mumbai,Infrastructure Team,2026-07-25
300,DB039,RHEL 9,UAT,Database Server,Chennai,Database Team,2026-07-25
301,FILE044,Ubuntu 22.04,Testing,File Server,Chennai,Windows Team,2026-07-25
302,DB040,RHEL 8,Production,Database Server,Pune,Database Team,2026-07-25
303,APP052,Ubuntu 22.04,Testing,Application Server,Mumbai,Infrastructure Team,2026-07-25
304,FILE045,Windows Server 2022,Testing,File Server,Bangalore,Windows Team,2026-07-25
305,API038,Ubuntu 22.04,Production,API Server,Bangalore,Infrastructure Team,2026-07-25
306,DB041,RHEL 8,Testing,Database Server,Mumbai,Database Team,2026-07-25
307,WEB042,RHEL 9,UAT,Web Server,Mumbai,Linux Team,2026-07-25
308,FILE046,Windows Server 2019,Testing,File Server,Mumbai,Windows Team,2026-07-25
309,WEB043,Windows Server 2022,Testing,Web Server,Pune,Linux Team,2026-07-25
310,DB042,RHEL 8,Production,Database Server,Hyderabad,Database Team,2026-07-25
311,MAIL051,RHEL 9,UAT,Mail Server,Hyderabad,Messaging Team,2026-07-25
312,AUTH040,Windows Server 2022,UAT,Authentication Server,Mumbai,Security Team,2026-07-25
313,AUTH041,Windows Server 2019,Production,Authentication Server,Chennai,Security Team,2026-07-25
314,API039,Ubuntu 22.04,Testing,API Server,Hyderabad,Infrastructure Team,2026-07-25
315,APP053,RHEL 9,Production,Application Server,Bangalore,Infrastructure Team,2026-07-25
316,AUTH042,RHEL 8,Development,Authentication Server,Hyderabad,Security Team,2026-07-25
317,APP054,RHEL 8,Production,Application Server,Pune,Infrastructure Team,2026-07-25
318,APP055,RHEL 9,Production,Application Server,Pune,Infrastructure Team,2026-07-25
319,AUTH043,Ubuntu 22.04,Testing,Authentication Server,Chennai,Security Team,2026-07-25
320,DB043,Ubuntu 22.04,Development,Database Server,Bangalore,Database Team,2026-07-25
